Name,"Sub Category","Plan","AUM","Sharpe Ratio","Sortino Ratio","PE Ratio","Category PE Ratio","Returns vs sub-category - 10Y","Returns vs sub-category - 1Y","Returns vs sub-category - 3Y","Returns vs sub-category - 5Y"
Mahindra Manulife Flexi Cap Fund,"Flexi Cap Fund","Growth","1541.9705999999999","0.08572234247849274","0.009","27.2389","25.29854814814819","0","0.6367516646618441","1.1412959922257155","0"
Baroda BNP Paribas Flexi Cap Fund,"Flexi Cap Fund","Growth","1199.7988","0.4413113186855737","0.0444","26.6206","25.29854814814819","0","1.6032679240255219","1.2399064592082496","0"
ITI Flexi Cap Fund,"Flexi Cap Fund","Growth","1133.9856","0.788963040959461","0.0841","24.529","25.29854814814819","0","2.5828853292301357","1.6036292821521907","0"
TRUSTMF Flexi Cap Fund,"Flexi Cap Fund","Growth","1081.3157","0.4365489663256575","0.0447","31.0979","25.29854814814819","0","1.5648863539094908","0","0"
LIC MF Flexi Cap Fund,"Flexi Cap Fund","Growth","973.2846000000001","0.736577165000382","0.0779","32.1783","25.29854814814819","1.052152137136712","2.4451524321782117","1.022729238279621","1.0626605972578347"
Capitalmind Flexi Cap Fund,"Flexi Cap Fund","Growth","424.7792","-0.04127372045260761","-0.0039","20.2505","25.29854814814819","0","0","0","0"
Taurus Flexi Cap Fund,"Flexi Cap Fund","Growth","305.8645","0.16826978338370796","0.0179","18.8815","25.29854814814819","0.9576600240995431","0.8265107607366772","0.9953450094705528","1.0064008881768647"
Samco Flexi Cap Fund,"Flexi Cap Fund","Growth","286.4435","0.16668233259706922","0.0167","24.1972","25.29854814814819","0","1.0649807309644583","0.2880303953210382","0"
Navi Flexi Cap Fund,"Flexi Cap Fund","Growth","260.338422","0.8334116629853461","0.0893","20.5113","25.29854814814819","0","2.8679669991751866","1.1224909753139696","1.2455731091700266"
The Wealth Company Flexi Cap Fund,"Flexi Cap Fund","Growth","227.71436235599998","0.02381176179958132","0.0024","23.3681","25.29854814814819","0","0","0","0"
Unifi Flexi Cap Fund,"Flexi Cap Fund","Growth","188.007735589","-0.030161564946136334","-0.0031","19.6539","25.29854814814819","0","0","0","0"
Old Bridge Flexi Cap Fund,"Flexi Cap Fund","Growth","152.6157","3.7209846438812404","0.5445","17.6449","25.29854814814819","0","0","0","0"
Shriram Flexi Cap Fund,"Flexi Cap Fund","Growth","128.0288","0.14445802158412666","0.0148","20.9083","25.29854814814819","0","0.7713508616708729","0.8301275532895552","0.9688642720991534"
