Name,"Sub Category","Plan","AUM","SEBI Risk Category","Tracking Error","Volatility","Category St Dev","Maximum Drawdown"
Parag Parikh Flexi Cap Fund,"Flexi Cap Fund","Growth","140949.9715","Very High","7.135591285941201","9.064343991707288","14.14299886058501","31.202149047503646"
HDFC Flexi Cap Fund,"Flexi Cap Fund","Growth","91334.9081","Very High","3.921003442997723","12.361479275555979","14.14299886058501","41.839443017840416"
Kotak Flexicap Fund,"Flexi Cap Fund","Growth","54838.6325","Very High","2.6843792802061337","14.206097089630214","14.14299886058501","37.30625075565228"
Aditya Birla SL Flexi Cap Fund,"Flexi Cap Fund","Growth","25631.5095","Very High","2.366889122878383","13.34411131248537","14.14299886058501","38.591459528362016"
SBI Flexicap Fund,"Flexi Cap Fund","Growth","22402.6797","Very High","3.2018882366503676","12.691669039176842","14.14299886058501","35.800084806459544"
UTI Flexi Cap Fund,"Flexi Cap Fund","Growth","22167.580299999998","Very High","4.281354771564721","13.717162247345478","14.14299886058501","33.859014871280316"
ICICI Pru Flexicap Fund,"Flexi Cap Fund","Growth","20936.0667981872","Very High","5.841818894830616","14.920449943617653","14.14299886058501","19.710144927536223"
Franklin India Flexi Cap Fund,"Flexi Cap Fund","Growth","19049.253716609","Very High","2.482773030303012","13.328236804618982","14.14299886058501","37.71518089978042"
Canara Rob Flexi Cap Fund,"Flexi Cap Fund","Growth","13082.7301","Very High","2.133533857242486","13.682238330039425","14.14299886058501","33.23869013817907"
Motilal Oswal Flexi Cap Fund,"Flexi Cap Fund","Growth","11679.275800000001","Very High","7.387995961016763","15.974517265945785","14.14299886058501","37.09590773708332"
Axis Flexi Cap Fund,"Flexi Cap Fund","Growth","11412.803399","Very High","3.511441140044925","13.829871253196828","14.14299886058501","29.870129870129862"
DSP Flexi Cap Fund,"Flexi Cap Fund","Growth","10725.6079","Very High","3.2637988173292793","14.123549648725","14.14299886058501","35.71428571428571"
Nippon India Flexi Cap Fund,"Flexi Cap Fund","Growth","8280.1823","Very High","2.043049162404077","14.393416282453586","14.14299886058501","19.795549440880517"
WOC Flexi Cap Fund,"Flexi Cap Fund","Growth","7906.7493000000095","Very High","3.9273532461442784","13.085356834263253","14.14299886058501","15.589123867069473"
Bajaj Finserv Flexi Cap Fund,"Flexi Cap Fund","Growth","6952.818504999999","Very High","5.6164008831279135","13.923530849608515","14.14299886058501","17.52529898804048"
Helios Flexi Cap Fund,"Flexi Cap Fund","Growth","6762.7252","Very High","4.279767320778082","15.912606685266875","14.14299886058501","18.23020625415835"
Bandhan Flexi Cap Fund,"Flexi Cap Fund","Growth","6651.136600000001","Very High","3.1002913863054875","12.844064314694164","14.14299886058501","36.89338579726438"
Quant Flexi Cap Fund,"Flexi Cap Fund","Growth","6593.522099999999","Very High","6.475211758699479","16.003091380105282","14.14299886058501","41.28467780653956"
PGIM India Flexi Cap Fund,"Flexi Cap Fund","Growth","5792.967","Very High","2.7288279022320188","13.666363822173038","14.14299886058501","36.44501278772379"
