Name,"Sub Category","Plan","AUM","Average YTM","% Away from ATH","% Other Holdings","% Sovereign Debt Holding","% Largecap Holding","% Midcap Holding","% Poorly Rated Bonds","% Corporate Debt Holding","% B Rated Bonds","% Concentration - Top 10 Holdings"
Nippon India Nivesh Lakshya Long Duration Fund,"Long Duration Fund","Growth","7302.883199999999","7.67","3.14","0","96.74761214191047","0","0","0","0","0","96.52648558743013"
Nippon India Short Duration Fund,"Short Duration Fund","Growth","7295.130300000001","7.76","0.47","0","21.67483424005389","0","0","0","64.06970277635088","0","22.02631664529571"
Franklin India Large Cap Fund,"Large Cap Fund","Growth","7235.573504467","0","9.29","0","0","80.99988876986369","14.138785122401433","0","0","0","48.677852894805916"
DSP Large Cap Fund,"Large Cap Fund","Growth","7192.0077","0","7.8","0","0","80.7791821468712","4.876853788685466","0","0","0","64.5822348048932"
Nippon India Gold Savings Fund,"FoFs - Gold","Growth","7178.7114","0","11.13","0","0","0","0","0","0","0","99.99999999999955"
Aditya Birla SL Focused Fund,"Focused Fund","Growth","7131.9962","0","6.88","0","0","74.17328843093556","19.83062281792185","0","0","0","43.797629270534706"
WOC Multi Asset Allocation Fund,"Multi Asset Allocation Fund","Growth","7118.264300000001","6.59","0.75","0","3.9401234371137397","20.065751141047112","2.8295760245935213","0","15.665051942507953","0","40.852480006959"
Sundaram Liquid Fund,"Liquid Fund","Growth","7085.78281311636","6.19","0","0","0","0","0","0","0","0","23.16334733114895"
Nippon India Vision Large & Mid Cap Fund,"Large & Mid Cap Fund","Growth","7080.9085","0","4.39","0","0","61.78419934636944","33.083745008271904","0","0","0","26.81255392661624"
Aditya Birla SL Equity Hybrid '95 Fund,"Aggressive Hybrid Fund","Growth","6999.404100000001","7.74","6.25","0","4.742137977145796","54.2003811438748","15.05851190960671","0","13.432164889579663","0","33.38381334491031"
Bajaj Finserv Flexi Cap Fund,"Flexi Cap Fund","Growth","6952.818504999999","0","3.52","0","0","45.79776197235698","24.14810140664539","0","0","0","33.835579628606745"
UTI Multi Asset Allocation Fund,"Multi Asset Allocation Fund","Growth","6864.594799999991","7.24","3.45","0","7.0203837814287295","51.258723967217996","12.102829434302517","0","3.2354655514408517","0","34.51996176088941"
Bandhan ELSS Tax Saver Fund,"Equity Linked Savings Scheme (ELSS)","Growth","6835.3113","0","6.77","0","0","66.73024503362697","15.820101640327955","0","0","0","43.916447322270756"
ICICI Pru Innovation Fund,"Thematic Fund","Growth","6799.19521088511","0","5.54","0","0","38.747712725350844","31.46187455228241","0","0","0","31.24917839338602"
Helios Flexi Cap Fund,"Flexi Cap Fund","Growth","6762.7252","0","5.09","0","0","65.80090671139502","18.997382889371277","0","0","0","34.27420945627069"
HDFC Credit Risk Debt Fund,"Credit Risk Fund","Growth","6743.0972","8.29","0.3","0","9.536282927205907","0","0","0","68.78737700439011","0","33.7653758138776"
Kotak Nifty SDL Apr 2027 Top 12 Equal Weight Index Fund,"Index Funds - Debt Oriented","Growth","6742.3722","6.07","0.07","0","97.54780669035152","0","0","0","0","0","54.01850850061348"
HDFC Retirement Savings Fund-Equity Plan,"Solution Oriented, Retirement Fund - Equity Oriented","Growth","6733.063","0","9.46","0","0","62.68772176942349","11.326879014796083","0","0","0","43.277090976276305"
Kotak Gold Fund,"FoFs - Gold","Growth","6693.2323","0","10.4","0","0","0","0","0","0","0","99.99999999999999"
SBI PSU Fund,"Thematic Fund","Growth","6669.4452","0","6.66","0","0","69.43504536179418","20.26011698844156","0","0","0","78.29970924718"
ICICI Pru Pharma Healthcare & Diagnostics (P.H.D) Fund,"Sectoral Fund - Pharma & Health Care","Growth","6668.953472744","0","0.09","0","0","31.92175367095591","29.795346573057067","0","0","0","60.16308880243431"
Bandhan Flexi Cap Fund,"Flexi Cap Fund","Growth","6651.136600000001","0","6.35","0","0","70.0332212433414","8.643597524837444","0","0","0","42.31181555805916"
Aditya Birla SL Multi-Cap Fund,"Multi Cap Fund","Growth","6640.6224","0","4.13","0","0","41.49934801292119","22.194912031137335","0","0","0","26.956000389361087"
ICICI Pru Manufacturing Fund,"Thematic Fund","Growth","6613.5880368596","0","2.12","0","0","50.16754266380736","19.864117521051593","0","0","0","36.87240097824328"
Mirae Asset Focused Fund,"Focused Fund","Growth","6596.392199999999","0","12.13","0","0","46.25605493863753","24.019435957734604","0","0","0","50.8662189613286"
Quant Flexi Cap Fund,"Flexi Cap Fund","Growth","6593.522099999999","0","6.01","0","0","70.14726165852997","14.650881355201646","0","0","0","71.40040828861403"
Sundaram Large and Mid Cap Fund,"Large & Mid Cap Fund","Growth","6574.822746999999","0","5.57","0","0","35.972543706591786","36.86138255466986","0","0","0","30.980808875346277"
