Name,"Sub Category","Plan","AUM","Returns vs sub-category - 5Y","Returns vs sub-category - 10Y","PE Ratio","Category YTM","Returns vs sub-category - 1Y","Average Maturity","Category PE Ratio","Sortino Ratio","Sharpe Ratio","Returns vs sub-category - 3Y"
Franklin U.S. Opportunities Equity Active FOF,"FoFs (Overseas)","Growth","4408.228748177","1.1297342768020107","1.4369135926915861","0","3.9150000000000014","0.708951675013725","0","0","0.1331","1.2842476863907524","1.0968551348172086"
Nippon India Silver ETF FOF,"FoFs (Domestic) - Silver","Growth","4380.298400000001","0","0","0","0","1.001344587817183","0","0","0.1845","2.036699359257522","1.002883224020855"
Tata Overnight Fund,"Overnight Fund","Growth","4376.1912941488","1.9839320975626769","0","0","5.451812297734607","2.9206174204297715","0.010958904109589041","0","-0.4922","-69.45573426780543","2.819406221988393"
HDFC Banking & Financial Services Fund,"Sectoral Fund - Banks & Financial Services","Growth","4369.8865000000005","0","0","18.7181","0","2.8138135513817963","0","18.56032048192772","-0.0019","-0.0174619586530263","1.293376015812588"
Motilal Oswal S&P 500 Index Fund,"Index Fund","Growth","4365.1023","1.6803731993129774","0","0","0","36.22520994419542","0","24.005141312056736","0.2589","2.4208624496241002","1.8147445798982471"
BHARAT Bond ETF FOF - April 2032,"FoFs (Domestic) - Debt Oriented","Growth","4364.6574","0","0","0","7.489999999999999","0.6129564858020038","5.8","0","-0.0646","-0.652442273308528","0.9909686950971847"
UTI Children's Hybrid Fund-Scholarship-Direct plan,"Solution Oriented - Children's Fund","Growth","4329.9662","0","0","0","6.634285714285715","-4.654443285665028","9.73","0","-0.12","-1.1842382868325108","0"
UTI Children's Hybrid Fund,"Solution Oriented - Children's Fund","Growth","4329.9662","0","0","0","6.634285714285715","-4.654443285665028","9.73","0","-0.12","-1.1842382868325108","0"
SBI Healthcare Opp Fund,"Sectoral Fund - Pharma & Health Care","Growth","4323.2853000000005","1.4731983983142023","1.1138389919178477","48.3387","0","1.1766079950514081","0","43.46111132075474","0.0741","0.7095905016275231","1.216313882764594"
Franklin India Money Market Fund,"Money Market Fund","Growth","4309.4510721139995","2.327727770154021","2.5297464851768603","0","7.0568421052631605","2.466014317683329","0.64","0","0.5183","3.95116500794386","2.1641280286098463"
SBI Technology Opp Fund,"Sectoral Fund - Technology","Growth","4240.4042","1.8773406561171895","1.3693767065843367","31.7693","0","0.868151974637678","0","30.814870270270248","-0.0884","-0.9286587101836714","1.694086582179615"
HSBC Overnight Fund,"Overnight Fund","Growth","4223.1575","1.9861964497729478","0","0","5.451812297734607","2.9071131927081737","0.010602739726027398","0","-0.5056","-70.6510847101444","2.8128361523087526"
Kotak US Specific Equity Passive FOF,"FoFs (Overseas)","Growth","4214.6084","1.9238013317074727","0","0","3.9150000000000014","1.3648612237111086","0","0","0.2693","2.3907008846779645","1.5136947183037677"
DSP Ultra Short Fund,"Ultra Short Duration Fund","Growth","4166.767199999999","2.697548820602044","2.995603705979853","0","6.87384868421054","3.104544719651768","0.67","0","0.6557","4.789339023289123","2.859804745941535"
UTI Small Cap Fund,"Small Cap Fund","Growth","4163.6796","1.2014706274863798","0","28.4134","0","1.5365499734015118","0","31.598579411764693","0.018","0.17461958653026297","1.1834885437370064"
UTI Ultra Short Duration Fund,"Ultra Short Duration Fund","Growth","4126.0427","2.9295900699297324","3.0835896604763744","0","6.87384868421054","3.095843522538392","0.4986301369863014","0","0.6989","5.305260528946717","2.8296845798863393"
Mirae Asset Small Cap Fund,"Small Cap Fund","Growth","4123.4249","0","0","30.946","0","2.427339292651913","0","31.598579411764693","0.0424","0.4063874013795212","0"
Bajaj Finserv Money Market Fund,"Money Market Fund","Growth","4116.5821000000005","0","0","0","7.0568421052631605","2.4687736169672054","0.7013698630136986","0","0.5701","4.11625988975429","0"
Kotak Focused Fund,"Focused Fund","Growth","4081.4945000000002","1.536234177703967","0","29.742","0","-7.359710375839331","0","27.065241666666697","0.0332","0.32860231283422214","1.5064781874266289"
HSBC Banking and PSU Debt Fund,"Banking & PSU Fund","Growth","4019.3797999999997","2.3629122364532833","2.9644748830322056","0","7.373133640553","5.624457243101446","2.83","0","-0.0665","-0.568307381616674","2.500874664842125"
Mirae Asset Great Consumer Fund,"Sectoral Fund - Consumption","Growth","4018.2688","1.567590702022643","1.5967993671629483","43.4314","0","0.3071549466704669","0","40.72001621621625","-0.04","-0.39527524587304985","1.695791992570887"
Mirae Asset Money Market Fund,"Money Market Fund","Growth","4016.0566999999996","0","0","0","7.0568421052631605","2.4346011265231207","0.6931232876712329","0","0.5115","3.7082850375881304","2.1587724086921853"
Invesco India Multicap Fund,"Multi Cap Fund","Growth","3995.4009","1.1028261304538822","1.2616503090498705","37.9972","0","-1.1324490110436098","0","28.07517499999999","-0.0435","-0.4254368108191862","1.0192834759999545"
Motilal Oswal Multi Cap Fund,"Multi Cap Fund","Growth","3993.9108","0","0","40.3302","0","-1.5097257383667366","0","28.07517499999999","-0.0467","-0.46988543284507134","0"
Nippon India Dynamic Bond Fund,"Dynamic Bond Fund","Growth","3975.7202","2.201042684108857","2.482008223758893","0","7.315404411764704","-3.0314459271200938","4.17","0","-0.1023","-0.9905692908625827","2.3585326517389986"
Mirae Asset Flexi Cap Fund,"Flexi Cap Fund","Growth","3959.6763","0","0","24.4585","0","-21.339382155689094","0","26.007497777777786","0.008","0.08095999011857648","1.2654934324573814"
Nippon India Aggressive Hybrid Fund,"Aggressive Hybrid Fund","Growth","3958.2052000000003","1.51562058658603","1.3797926189527567","26.9955","7.129446808510636","-0.9495692687107535","4.76","25.0177225680934","-0.0246","-0.24605487192900694","1.4135373022174549"
HSBC ELSS Tax saver Fund,"Equity Linked Savings Scheme (ELSS)","Growth","3938.6013000000003","1.1938233738240571","1.313275479902491","25.9645","0","-12.289262896312465","0","25.46424319248826","-0.0028","-0.02857411415949758","1.3790575720929932"
Navi Nifty 50 Index Fund,"Index Fund","Growth","3919.793444","0","0","19.8033","0","-2.749662674885548","0","24.005141312056736","-0.0593","-0.5873567910563391","0.6621264933093614"
Abakkus Flexi Cap Fund,"Flexi Cap Fund","Growth","3901.185","0","0","23.6415","0","0","0","26.007497777777786","0.022","0.2158933069828706","0"
