Name,"Sub Category","Plan","AUM","Average YTM","% Away from ATH","% A Rated Bonds","% Equity Holding","% Smallcap Holding","% Debt Holding","% Concentration - Top 3 Holdings","% Concentration - Top 5 Holdings","% Cash Holding"
Edelweiss US Technology Equity FOF,"FoFs (Overseas)","Growth","3897.3331","0","1.13","0","0","0","0","100.14217524142347","100.00000000000004","2.979899254698041"
HSBC Short Duration Fund,"Short Duration Fund","Growth","3869.8199","7.49","0.46","82.6074179834571","0","0","0","8.01385614870604","13.20799967977838","1.922228990553287"
Axis Greater China Equity FoF,"FoFs (Overseas)","Growth","3858.8551","0","3.51","0","0","0","0","100.00000000000003","100.00000000000003","2.8743114764791198"
SBI Silver ETF FOF,"FoFs (Domestic) - Silver","Growth","3849.9663","0","27.46","0","0","0","0","99.99999999999986","99.99999999999986","-0.08699296926313299"
SBI Dynamic Bond Fund,"Dynamic Bond Fund","Growth","3825.5546000000004","7.41","0.35","66.03216171584639","0","0","0","27.94043509403837","43.357350068928554","7.66264060118238"
Baroda BNP Paribas Money Market Fund,"Money Market Fund","Growth","3813.2778999999996","7.22","0.05","96.80077080141471","0","0","0","14.281602712459009","21.745262782972098","-6.77622000746392"
UTI Transportation & Logistics Fund,"Thematic Fund","Growth","3810.9251","0","10.23","0","94.43879125307394","12.173083643129054","0.133371815678036","31.20729399798487","46.086605060802654","5.35586752938278"
Aditya Birla SL Digital India Fund,"Sectoral Fund - Technology","Growth","3798.7853999999998","0","25.25","0","94.36674943522739","20.66570804447128","0","34.4468181856232","48.564930780243586","2.3931886228687724"
ICICI Pru Commodities Fund,"Thematic Fund","Growth","3789.0617706188","0","1.95","0","97.7342842155677","20.48018604545655","0","21.27799304439241","31.48216292618499","2.265715784432275"
Axis Balanced Advantage Fund,"Balanced Advantage Fund","Growth","3763.9754","7.15","3.85","15.253313929735041","55.360955175211814","4.555185296907096","23.153508814111806","22.336234769228398","30.397233095625538","17.47260091019733"
Altiva Hybrid Long-Short Fund,"Balanced Hybrid Fund","Growth","3761.2089","8.24","0","30.13872481265264","35.404853476763805","4.614848699310485","46.1096856385722","26.16066775852305","31.458908438534202","17.264257776269766"
