name,mfId,slug,ret3m,ret6m,ret1y,ret3y,ret5y,ret10y,alpha,sharpe,sortino,stdDevAnn,catStdDevAnn,trackErr,pe,catPe,percEquityH,percMidcap,percLargecap,percSmallcap,percDebtH,percOtherH,aum,expRatio,age,navClose,exitLoad,benchmarkIndex,riskClassification,subsector
ICICI Pru Multi-Asset Fund(IDCW-Payout),M_ICIMS,/mutualfunds/icici-pru-multi-asset-fundidcw-payout-M_ICIMS,-0.4003154203647436,-1.8570717683099098,4.289134952716753,11.63327938938885,13.214670994140508,9.428978919926356,2.48,0.29050349395489206,0.0294,9.79933370592103,10.717063993328148,5.708473028752961,20.0005,23.354202884615404,67.22577159777597,14.83219629389974,45.38793009094371,6.8970138707991495,14.054794074269385,0,83883.5129940781,0.79,,59.3644,1,NIFTY 200 - TRI,Very High,Multi Asset Allocation Fund
ICICI Pru Multi-Asset Fund,M_ICPPP,/mutualfunds/icici-pru-multi-asset-fund-M_ICPPP,0.408682070992354,-0.2627104876273046,7.719641628554573,15.729851167142117,17.90132987926132,15.90409762079501,2.48,0.29050349395489206,0.0294,9.79933370592103,10.717063993328148,5.708473028752961,20.0005,23.354202884615404,67.22577159777597,14.83219629389974,45.38793009094371,6.8970138707991495,14.054794074269385,0,83883.5129940781,0.79,,895.0941,1,NIFTY 200 - TRI,Very High,Multi Asset Allocation Fund
ICICI Pru Multi-Asset Fund(IDCW),M_ICPPR,/mutualfunds/icici-pru-multi-asset-fundidcw-M_ICPPR,-0.4003154203647436,-1.8570717683099098,4.289134952716753,11.63327938938885,13.214670994140508,9.428978919926356,2.48,0.29050349395489206,0.0294,9.79933370592103,10.717063993328148,5.708473028752961,20.0005,23.354202884615404,67.22577159777597,14.83219629389974,45.38793009094371,6.8970138707991495,14.054794074269385,0,83883.5129940781,0.79,,59.3644,1,NIFTY 200 - TRI,Very High,Multi Asset Allocation Fund
SBI Multi Asset Allocation Fund(M-IDCW Payout),M_SBUM,/mutualfunds/sbi-multi-asset-allocation-fundm-idcw-payout-M_SBUM,1.0289130309823522,0.0266582797921164,12.277634511997897,16.20563932729202,14.184014552798164,10.322263217887183,3.2199999999999998,0.9318336117569489,0.0918,9.007195763388292,10.717063993328148,8.29443036018749,19.601,23.354202884615404,46.76621950378326,11.904046373289164,16.469050071444258,18.393123059049834,32.829120949951815,0,19354.245,0.74,,33.3944,1,BSE 500 - TRI,Very High,Multi Asset Allocation Fund
SBI Multi Asset Allocation Fund(Q-IDCW Payout),M_SBUU,/mutualfunds/sbi-multi-asset-allocation-fundq-idcw-payout-M_SBUU,1.02869007172519,0.031147796293420127,12.283071641980813,16.207454549942348,14.18515947006167,10.223277855480006,3.2199999999999998,0.9334210625435876,0.0918,9.007195763388292,10.717063993328148,8.29443036018749,19.601,23.354202884615404,46.76621950378326,11.904046373289164,16.469050071444258,18.393123059049834,32.829120949951815,0,19354.245,0.74,,35.3265,1,BSE 500 - TRI,Very High,Multi Asset Allocation Fund
SBI Multi Asset Allocation Fund(A-IDCW Payout),M_SBUL,/mutualfunds/sbi-multi-asset-allocation-funda-idcw-payout-M_SBUL,1.0288139432304515,0.030925474328301856,12.27788465105432,16.205962659551897,14.184170641863547,10.610940859668316,3.2199999999999998,0.9318336117569489,0.0918,9.007195763388292,10.717063993328148,8.29443036018749,19.601,23.354202884615404,46.76621950378326,11.904046373289164,16.469050071444258,18.393123059049834,32.829120949951815,0,19354.245,0.74,,42.373,1,BSE 500 - TRI,Very High,Multi Asset Allocation Fund
SBI Multi Asset Allocation Fund,M_SBTO,/mutualfunds/sbi-multi-asset-allocation-fund-M_SBTO,1.0292669342733525,0.032414649269446455,12.284314539566537,16.20789018083888,14.185600769096007,12.257802094023296,3.2199999999999998,0.9334210625435876,0.0918,9.007195763388292,10.717063993328148,8.29443036018749,19.601,23.354202884615404,46.76621950378326,11.904046373289164,16.469050071444258,18.393123059049834,32.829120949951815,0,19354.245,0.74,,74.3732,1,BSE 500 - TRI,Very High,Multi Asset Allocation Fund
SBI Multi Asset Allocation Fund(M-IDCW),M_SBOM,/mutualfunds/sbi-multi-asset-allocation-fundm-idcw-M_SBOM,1.0289130309823522,0.0266582797921164,12.277634511997897,16.20563932729202,14.184014552798164,10.322263217887183,3.2199999999999998,0.9318336117569489,0.0918,9.007195763388292,10.717063993328148,8.29443036018749,19.601,23.354202884615404,46.76621950378326,11.904046373289164,16.469050071444258,18.393123059049834,32.829120949951815,0,19354.245,0.74,,33.3944,1,BSE 500 - TRI,Very High,Multi Asset Allocation Fund
SBI Multi Asset Allocation Fund(Q-IDCW),M_SBUQ,/mutualfunds/sbi-multi-asset-allocation-fundq-idcw-M_SBUQ,1.02869007172519,0.031147796293420127,12.283071641980813,16.207454549942348,14.18515947006167,10.223277855480006,3.2199999999999998,0.9334210625435876,0.0918,9.007195763388292,10.717063993328148,8.29443036018749,19.601,23.354202884615404,46.76621950378326,11.904046373289164,16.469050071444258,18.393123059049834,32.829120949951815,0,19354.245,0.74,,35.3265,1,BSE 500 - TRI,Very High,Multi Asset Allocation Fund
SBI Multi Asset Allocation Fund(A-IDCW),M_SBOL,/mutualfunds/sbi-multi-asset-allocation-funda-idcw-M_SBOL,1.0288139432304515,0.030925474328301856,12.27788465105432,16.205962659551897,14.184170641863547,10.610940859668316,3.2199999999999998,0.9318336117569489,0.0918,9.007195763388292,10.717063993328148,8.29443036018749,19.601,23.354202884615404,46.76621950378326,11.904046373289164,16.469050071444258,18.393123059049834,32.829120949951815,0,19354.245,0.74,,42.373,1,BSE 500 - TRI,Very High,Multi Asset Allocation Fund
