Name,Ticker,"Sub-Sector","Market Cap","5Y Avg EBITDA Margin","Return on Equity","5Y Avg Net Profit Margin","EBITDA Margin","Return on Investment","5Y Avg Return on Equity","Return on Assets","5Y Avg Return on Assets","Net Profit Margin","5Y Avg Return on Investment","5Y Avg Cash Flow Margin","Cost of Goods Sold","Cash Flow Margin","ROCE"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1840019.2900303397","18.49949415805049","7.197219819635489","7.618299991511411","19.141469055341606","6.786209507789","7.576491981120692","3.7599186560212656","4.092867281707495","7.436605869555811","6.708161853377298","13.844155859828916",,"18.185435410223768","10.041805483510432"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1169343.2606485","24.783744993966195","14.047097534079553","18.248962100832834","20.61536162522471",,"16.205316082742776","1.6783743465550298","1.8860510616306296","15.344435236218839",,"12.396078258605293",,"27.020075536624976","6.047139739363808"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","1160404.30227762","52.19276967451507","25.908885247977484","8.795868784956363","55.77223183625287","15.066337101325006","5.965744158874547","7.086636705462913","1.55211191301","12.465387154887168","8.147928357869763","47.214228506994644",,"50.5858942951829","20.559191016414882"
ICICI Bank Ltd,ICICIBANK,"Private Banks","887112.8190763199","24.99461687251806","17.044528468970086","17.51527875560772","24.688496376823192",,"15.643937420223807","2.0339791340122337","1.731485507349054","17.28345939021337",,"45.74593247035761",,"41.68727377008885","7.653808795748756"
State Bank of India,SBIN,"Public Banks","877739.4262527401","15.693401489468442","16.57966960572751","10.980275303724708","16.00070374595276",,"13.890527620903669","1.1019872804915656","0.8650965575037286","11.478611192891906",,"6.057832257919683",,"7.30938091002409","6.0338692696176865"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","842073.68893932","27.664597174346305","48.18628242977934","18.711914276088912","26.62780972872601","42.114711801003665","48.053877624561565","28.962732773030112","30.146961031220446","18.130372149744126","43.89792877834092","18.973609401871144","43","19.192920275731975","55.47803381204627"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","574292.70542025","34.38079373346416","18.946202587861993","24.664332119547755","32.7118053370755","3.615459103734549","18.932227075255334","3.9525937811305294","3.8808109183284345","23.190253488892765","3.550411712980489","-89.33048439108647",,"-97.72288353501068","6.052095471230835"
Larsen and Toubro Ltd,LT,"Construction & Engineering","537992.3385507901","15.211466444822548","13.798467139801561","5.628518153441367","13.779112413926658","10.07288975621094","12.054676092190117","4.18443474292079","3.5653017294321736","5.515108884035325","9.571598742687073","10.299206391355737",,"3.5188289814567084","20.220912810704135"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","519095.19751365995","25.35814169657038","21.08044975849236","17.53912571600342","28.670324304139257","21.546325379948104","21.698918189940002","13.44978276245327","14.369627119284598","21.601126016143393","19.262677157957096","19.12737291737156",,"18.360159411782877","29.417616776679406"
Life Insurance Corporation Of India,LICI,"Insurance","506347.690953555","4.132583450944898","45.93116095254424","3.137898003052139","6.354299254377202","37.897210166359194","70.4247018662796","0.8804231076114643","0.5411522963016311","5.408194092313579","48.695820134165906","3.975578925186184",,"-1.0235172460446025","1.002692419086092"
