Name,Ticker,"Sub-Sector","Market Cap","Expense Ratio","Tracking Error","EBITDA","Net Income","Payout Ratio","Earnings Per Share","Taxes & Other Items","Dividend Per Share","PBIT","Interest & Other Items","Total Revenue","Depreciation & Amortization","PBT","Power & Fuel Cost","Raw Materials"
Bosch Home Comfort India Ltd,BOSCH-HCIL,"Home Electronics & Appliances","3622.9133841599996",,,"68.57000000000016","-2.649999999999834","0","-1.1","2.69","0","11.020000000000167","10.98","2718.13","57.55","0.040000000000166125",,
Oriana Power Ltd,ORIANA,"Construction & Engineering","3609.6969975",,,"245.48999999999992","158.5499999999999","0","80.27492452866007","53.81","0","236.99999999999991","24.64","998.0699999999999","8.49","212.3599999999999","719.56","0"
KNR Constructions Ltd,KNRCON,"Construction & Engineering","3604.5838682",,,"1781.8199999999995","1001.8799999999994","0.007017671777059133","35.62435063111009","257.71","0.25","1467.5999999999995","208.01","5068.86","314.22","1259.5899999999995","21.5","1466.44"
Raymond Ltd,RAYMOND,"Apparel & Accessories","3603.75998865",,,"5437.2","5341.2699999999995","0","802.31","-139.51","0","5285.389999999999","83.63","7619.33","151.81","5201.759999999999",,
Rashi Peripherals Ltd,RPTECH,"Technology Hardware","3582.635287725",,,"499.27999999999884","277.56999999999886","0.04748338081671415","42.12","93.7","2","477.75999999999885","106.49","15867.89","21.52","371.26999999999884",,
J Kumar Infraprojects Ltd,JKIL,"Construction & Engineering","3581.2483989800003",,,"891.79","386.57","0.07823195775474281","51.13","141.69","4","696.12","167.86","5803.94","195.67","528.26",,
Heidelbergcement India Ltd,HEIDELBERG,"Cement","3579.127554104",,,"284.8899999999999","106.74999999999986","1.4859876459016412","4.710671733581381","39.06","7","175.09999999999985","29.29","2194.35","109.79","145.80999999999986","559.44","427.66"
Kalyani Steels Ltd,KSL,"Iron & Steel","3571.6933692",,,"413.48","257.87","0.16929067208396817","59.07","89.93","10","356.44","8.64","1905.73","57.04","347.8",,
Chemplast Sanmar Ltd,CHEMPLASTS,"Building Products - Pipes","3566.003331996",,,"265.71999999999935","-110.36000000000064","0","-6.979969473575372","-58.71","0","66.80999999999935","235.88","4393.12","198.91","-169.07000000000065","666.18","2918.46"
Flair Writing Industries Ltd,FLAIR,"Stationery","3557.0940075",,,"209.54999999999978","119.56999999999978","0.08814533578656869","11.344899773498586","39.769999999999996","1","164.80999999999977","5.47","1104.4599999999998","44.74","159.33999999999978","26.46","573.07"
Ashoka Buildcon Ltd,ASHOKA,"Construction & Engineering","3550.5872486160006",,,"3089.7999999999984","1694.0999999999983","0","60.34769828104379","-139.32000000000002","0","2800.0899999999983","1245.31","10206.33","289.71","1554.7799999999984","0","2978.69"
Capital Infra Trust,CAPINVIT,"Construction & Engineering","3524.42592561",,,"401.68999999999994","210.50999999999993","1.8758737864077675","6.18","-12.680000000000007","11.592900000000002","401.68999999999994","203.86","920.18","0","197.82999999999993",,
Crizac Ltd,CRIZAC,"Education Services","3520.8228825",,,"248.11","152.93","0","8.739731115968741","49.510000000000005","0","202.45000000000002","0.01","884.78","45.66","202.44000000000003","0.19","0"
Mahindra Logistics Ltd,MAHLOG,"Logistics","3517.43702235",,,"386.0500000000002","2.290000000000184","0","0.25","30.869999999999997","0","108.18000000000018","75.02","7016.43","277.87","33.16000000000018",,
BHARAT Bond ETF - April 2033,EBBETF0433,"Equity","3514.8366720480003","0.01","2.8018506384174016",,,,,,,,,,,,,
IOL Chemicals and Pharmaceuticals Ltd,IOLCP,"Commodity Chemicals","3508.8278545400003",,,"279.1399999999999","137.63999999999984","0.21321961620469082","4.69","46.72","1","198.90999999999985","14.55","2340.44","80.23","184.35999999999984",,
Indo Thai Securities Ltd,INDOTHAI,"Investment Banking & Brokerage","3500.9871318",,,"83.88000000000001","66.17","0.001855287569573284","5.39","17.06","0.01","83.23",,"104.26","0.65","83.23",,
JTEKT India Ltd,JTEKTINDIA,"Auto Parts","3488.8206855300004",,,"219.40999999999985","76.88999999999986","0.26408450704225356","2.84","28.22","0.75","120.04999999999986","14.94","2690.48","99.36","105.10999999999986",,
Aarti Drugs Ltd,AARTIDRUGS,"Pharmaceuticals","3483.31955",,,"311.5799999999999","194.91999999999993","0","21.36","15.979999999999999","0","244.60999999999993","33.71","2567.7","66.97","210.89999999999992",,
Universal Cables Ltd,UNIVCABLES,"Cables","3477.691514535",,,"248.62999999999977","89.38999999999979","0.15526694708580416","25.762083141813218","28.07","4","221.30999999999977","103.85","2477.41","27.32","117.45999999999978","26.71","1876.25"
IRB InvIT Fund,IRBINVIT,"Roads","3475.4535",,,"1269.71","338.61000000000007","1.376190476190476","3.78","32.18","5.201999999999999","889.85","519.06","1581.75","379.86","370.7900000000001",,
NRB Bearings Ltd,NRBBEARING,"Industrial Machinery","3469.344467",,,"259.78999999999996","142.75","0.539714867617108","14.73","51.45","7.95","202.80999999999997","8.61","1369.52","56.98","194.2",,
Aye Finance Ltd,AYE,"Consumer Finance","3452.813140994",,,"273.6099999999999","193.62999999999988","0","9.73","53.67","0","247.2999999999999",,"1863.24","26.31","247.2999999999999",,
Pitti Engineering Ltd,PITTIENG,"Industrial Machinery","3443.0440867199995",,,"355.6400000000001","117.80000000000011","0.07869058860560277","31.77","49.769999999999996","2.5","250.9800000000001","83.41","1952.91","104.66","167.5700000000001",,
Kolte-Patil Developers Ltd,KOLTEPATIL,"Real Estate","3441.2310476699995",,,"227.35000000000008","106.56000000000007","0","14.020239273224277","64.61","0","213.08000000000007","41.91","1768.8500000000001","14.27","171.17000000000007","2.01","1430.31"
Gokul Agro Resources Ltd,GOKULAGRO,"Packaged Foods & Meats","3432.0060504380003",,,"716.1999999999971","369.37999999999704","0","12.52","115.88","0","659.6099999999971","174.35","24116.69","56.59","485.25999999999704",,
Tourism Finance Corporation of India Ltd,TFCILTD,"Specialized Finance","3408.90141812",,,"156.33999999999997","123.45999999999998","0.2247191011235955","2.67","32.32","0.6","155.77999999999997",,"276.83","0.56","155.77999999999997",,
Rossell Techsys Ltd,ROSSTECH,"Aerospace & Defense Equipments","3406.63044575",,,"66.69","21.889999999999997","0.05163511187607573","5.81","6.71","0.3","52.94","24.34","490.2","13.75","28.599999999999998",,
Shanthi Gears Ltd,SHANTIGEAR,"Auto Parts","3396.594391575",,,"118.76000000000005","76.66000000000005","0.5005005005005005","9.99","26.04","5","102.70000000000005","0","538.35","16.06","102.70000000000005",,
Sanathan Textiles Ltd,SANATHAN,"Textiles","3396.41933416",,,"303.75","77.35000000000001","0","9.16","37.45","0","210.65","95.85","3830.58","93.1","114.80000000000001",,
GRM Overseas Ltd,GRMOVER,"Agro Products","3347.68476",,,"105.59999999999998","60.589999999999975","0","3.3660774503366064","24.14","0","102.48999999999998","17.76","1374.19","3.11","84.72999999999998","6.24","1183.38"
Hind Rectifiers Ltd,HIRECT,"Electrical Components & Equipments","3346.48118904",,,"83.72000000000003","38.60000000000002","0","13.68","15.31","0","69.89000000000003","15.98","1000.77","13.83","53.910000000000025",,
Marathon Nextgen Realty Ltd,MARATHON,"Real Estate","3339.33964338",,,"269.32","186.55999999999995","0.027438742763722133","36.44481850393453","21.33","1","266.65999999999997","58.77","676.41","2.66","207.88999999999996","0","0"
Kirloskar Industries Ltd,KIRLOSIND,"Investment Banking & Brokerage","3337.8709",,,"787.5299999999997","158.91999999999973","0.0855713533438652","151.92","356.75","13","515.6699999999997",,"7013.25","271.86","515.6699999999997",,
Anzen India Energy Yield Plus Trust,ANZEN,"Power Transmission & Distribution","3324.3457",,,"233.61","-16.229999999999993",,"-0.9222526261896444","0.6900000000000001","2.45","59.58000000000001","75.12","267.72","174.03","-15.539999999999992","0.57",
Dishman Carbogen Amcis Ltd,DCAL,"Labs & Life Sciences Services","3311.2589664",,,"617.77","97.44999999999999","0","6.22","7.449999999999996","0","279.08","174.18","2987.84","338.69","104.89999999999998",,
Enviro Infra Engineers Ltd,EIEL,"Water Management","3304.52778",,,"287.1800000000001","176.31000000000012","0","11.28817465906909","64.25","0","277.7400000000001","37.18","1085.47","9.44","240.56000000000012","15.43","545.78"
Indraprastha Medical Corporation Ltd,INDRAMEDCO,"Hospitals & Diagnostic Centres","3298.39454",,,"295.6700000000001","183.62000000000006","0.19970044932601097","20.03","62.4","4","252.04000000000008","6.02","1511.26","43.63","246.02000000000007",,
DEE Development Engineers Ltd,DEEDEV,"Iron & Steel","3291.0476951299997",,,"149.74999999999997","43.629999999999974","0","7.147005031406357","11.72","0","100.36999999999998","45.02","848.26","49.38","55.34999999999997","16.38","296.67"
Cyient DLM Ltd,CYIENTDLM,"Industrial Machinery","3276.55908886",,,"163.07999999999993","73.27999999999993","0","9.23","19.88","0","120.32999999999993","27.17","1297.75","42.75","93.15999999999993",,
Steel Strips Wheels Ltd,SSWL,"Auto Parts","3268.881298725",,,"487.3700000000001","195.2900000000001","0.10044633941830093","12.444455489756303","63.71","1.25","376.2400000000001","117.24","4432.17","111.13","259.0000000000001","127.94","2878.09"
ideaForge Technology Ltd,IDEAFORGE,"Aerospace & Defense Equipments","3268.607934735",,,"27.119999999999976","-17.020000000000024","0","-3.9","-2.91","0","-15.950000000000024","3.98","248.42","43.07","-19.930000000000025",,
R Systems International Ltd,RSYSTEMS,"IT Services & Consulting","3248.8991445",,,"335.74","186.19000000000005","0","15.73","68.98","0","269.34000000000003","14.17","2011.82","66.4","255.17000000000004",,
Anand Rathi Share and Stock Brokers Ltd,ARSSBL,"Investment Banking & Brokerage","3243.5226775",,,"197.70000000000005","129.26000000000005","0.20746887966804978","24.1","42.300000000000004","5","171.56000000000006",,"934.37","26.14","171.56000000000006",,
Route Mobile Ltd,ROUTE,"IT Services & Consulting","3240.91060599",,,"455.47000000000025","239.02000000000024","0.28993147074327885","37.94","114.02000000000001","11","363.86000000000024","10.82","4462.3","91.61","353.04000000000025",,
Bhagiradha Chemicals and Industries Ltd,BHAGCHEM,"Fertilizers & Agro Chemicals","3237.8369276",,,"59.509999999999934","18.189999999999934","0.10714285714285715","1.4","2.93","0.15","38.579999999999934","17.46","538.31","20.93","21.119999999999933",,
Sambhv Steel Tubes Ltd,SAMBHV,"Building Products - Pipes","3225.768133263",,,"279.90999999999985","142.15999999999988","0","5.05","48.03","0","231.51999999999987","41.33","2420.46","48.39","190.18999999999988",,
KDDL Ltd,KDDL,"Precious Metals, Jewellery & Watches","3215.2777776",,,"360.47","88.10000000000002","0","71.63","107.56","0","238.06000000000003","42.4","2207.77","122.41","195.66000000000003",,
Rajesh Exports Ltd,RAJESHEXPO,"Precious Metals, Jewellery & Watches","3208.885234412",,,"285.03000000002794","94.86000000002795","0","3.2127620799414913","11.999999999999998","0","239.64000000002795","132.78","423217.21","45.39","106.86000000002795","0","422593.96"
Share India Securities Ltd,SHAREINDIA,"Investment Banking & Brokerage","3206.88814215",,,"457.7099999999998","323.4699999999998","0.06423258958755916","14.79","117","0.95","440.4699999999998",,"1488.85","17.24","440.4699999999998",,
Carraro India Ltd,CARRARO,"Agricultural & Farm Machinery","3206.7110008900004",,,"186.4399999999999","88.1099999999999","0.29358131642265384","15.498261454245952","30.55","4.55","141.2399999999999","22.58","1823.3799999999999","45.2","118.6599999999999","26.26","1307.24"
Cupid Ltd,CUPID,"FMCG - Personal Products","3206.5715201599996",,,"150.39","108.22999999999999","0","0.81","34.23","0","145.26999999999998","2.81","391.4","5.12","142.45999999999998",,
Samhi Hotels Ltd,SAMHI,"Hotels, Resorts & Cruise Lines","3202.738623648",,,"406.26000000000005","85.51000000000008","0","3.876135473169541","-24.84","0","289.43000000000006","228.76","1165.97","116.83","60.67000000000007","75.26","81.49"
Sandhar Technologies Ltd,SANDHAR,"Auto Parts","3192.21419878",,,"411.78999999999974","141.61999999999975","0.14875545685637648","23.528548625811105","42.96","3.5","241.18999999999974","56.61","3913.05","170.6","184.57999999999976","159.03","2407.38"
Niit Learning Systems Ltd,NIITMTS,"Education Services","3183.83744125",,,"430.3700000000001","247.72000000000014","0.17965726920950803","18.09","83.46","3.25","353.98000000000013","22.8","2015.16","76.39","331.1800000000001",,
63 Moons Technologies Ltd,63MOONS,"IT Services & Consulting","3172.50727245",,,"-2.8600000000000136","-22.42000000000001","0","-4.87","-14.420000000000002","0","-35.44000000000001","1.4","490.46","32.58","-36.84000000000001",,
Greenply Industries Ltd,GREENPLY,"Wood Products","3166.26684075",,,"245.1500000000001","89.52000000000012","0.06954102920723226","7.19","35.73","0.5","180.5100000000001","55.26","2757.63","64.64","125.25000000000011",,
Timex Group India Ltd,TIMEX,"Precious Metals, Jewellery & Watches","3165.28725",,,"49.76000000000003","31.420000000000037","0","3.112431896978706","11.35","0","46.460000000000036","3.69","539.82","3.3","42.77000000000004","1.1","337.06"
Nippon India ETF Nifty Next 50 Junior BeES,JUNIORBEES,"Equity","3154.19775531","0.18","0.03651136809269135",,,,,,,,,,,,,
West Coast Paper Mills Ltd,WSTCSTPAPR,"Paper Products","3148.55144436",,,"691.5799999999998","311.1499999999998","0.10613676361883342","47.1090301750333","132.38","5","481.7099999999998","38.18","4272.8","209.87","443.5299999999998","332.24","2538.17"
RPSG Ventures Ltd,RPSGVENT,"Packaged Foods & Meats","3147.344656125",,,"1481.1999999999998","-49.04000000000019","0","-14.821795861859833","423.28","0","1111.2099999999998","736.97","9716.66","369.99","374.2399999999998","57.86","359.13"
Marine Electricals (India) Ltd,MARINE,"Electrical Components & Equipments","3143.85117065",,,"82.06000000000002","38.43000000000001","0.10562437939110067","2.8402533745469403","13.98","0.3","66.49000000000001","14.08","780.45","15.57","52.41000000000001","1.73","543.65"
IndoStar Capital Finance Ltd,INDOSTAR,"Consumer Finance","3139.842302912",,,"151.1899999999997","120.5099999999997","0","8.855275371030764","0.06","0","120.56999999999971",,"1477.6899999999998","30.62","120.56999999999971",,
Navneet Education Ltd,NAVNETEDUL,"Publishing","3136.581693399",,,"1026.38","758.4100000000002","0.0442464856080484","33.900997545602834","181.9","1.5","960.3600000000001","20.05","2492.73","66.02","940.3100000000002","7.2","858.58"
Kitex Garments Ltd,KITEX,"Apparel & Accessories","3120.579",,,"219.2999999999999","138.71999999999989","0.07190779898356407","6.953348691903152","50.809999999999995","0.5","203.5499999999999","14.02","1001.3399999999999","15.75","189.5299999999999","40.91","439.24"
Solara Active Pharma Sciences Ltd,SOLARA,"Pharmaceuticals","3118.92400803",,,"187.0200000000002","-7.409999999999798","0","-1.68","0","0","87.3400000000002","94.75","1375.14","99.68","-7.409999999999798",,
Novartis India Ltd,NOVARTIND,"Pharmaceuticals","3118.4476611",,,"132.87","93.18000000000002","0","37.74","36.480000000000004","0","130.92000000000002","1.26","393.1","1.95","129.66000000000003",,
MPS Ltd,MPSLTD,"Publishing","3114.60579656",,,"259.07000000000005","173.22000000000006","0","102.11","56.07","0","231.30000000000004","2.01","791.59","27.77","229.29000000000005",,
Balmer Lawrie and Company Ltd,BALMLAWRIE,"Conglomerates","3114.322043352",,,"397.1500000000001","276.60000000000014","0","16.18","11","0","321.0700000000001","33.47","2763.35","76.08","287.60000000000014",,
Wonderla Holidays Ltd,WONDERLA,"Theme Parks & Gaming","3088.6887042",,,"192.46000000000004","81.74000000000005","0.1551590380139643","12.89","26.599999999999998","2","108.97000000000004","0.63","551.08","83.49","108.34000000000005",,
Jindal Poly Films Ltd,JINDALPOLY,"Packaging","3084.533863785",,,"728.1599999999996","109.79999999999967","0.23528218278688598","25.076271947647246","32.190000000000005","5.9","505.37999999999965","363.39","5797.11","222.78","141.98999999999967","525.41","3836.52"
Ramky Infrastructure Ltd,RAMKY,"Construction & Engineering","3074.8038430849997",,,"502.15999999999985","197.50999999999985","0","28.542818657318097","133.58","0","451.15999999999985","120.07","2210.45","51","331.08999999999986","71.6","5.44"
Bharat Bijlee Ltd,BBL,"Heavy Electrical Equipments","3071.1707352",,,"199.04999999999973","120.08999999999973","0.32944277108433734","106.24","40.08","35","177.33999999999972","17.17","2314.87","21.71","160.16999999999973",,
Bliss GVS Pharma Ltd,BLISSGVS,"Pharmaceuticals","3068.4091328599998",,,"235.08000000000004","129.13000000000005","0.08176614881439084","12.23","60.46","1","201.60000000000005","12.01","1000.64","33.48","189.59000000000006",,
Heritage Foods Ltd,HERITGFOOD,"FMCG - Foods","3047.88462",,,"299.3299999999999","150.14999999999992","0.15413070283600494","16.22","50.980000000000004","2.5","218.3499999999999","17.22","4560.36","80.98","201.1299999999999",,
Dredging Corporation of India Ltd,DREDGECORP,"Dredging","3046.4",,,"253.45999999999992","4.759999999999941","0","5.28","1.82","0","95.53999999999994","88.96","1214.1","157.92","6.5799999999999415",,
PSP Projects Ltd,PSPPROJECT,"Construction & Engineering","3041.1199965650003",,,"206.30999999999995","55.50999999999995","0","14","18.99","0","119.73999999999995","45.24","3165.92","86.57","74.49999999999994",,
Vadilal Industries Ltd,VADILALIND,"FMCG - Foods","3028.0890224",,,"255.56999999999982","150.3299999999998","0.10043903412492529","209.08205841446429","49.36","21","213.36999999999983","13.68","1255.3999999999999","42.2","199.68999999999983","45.65","670.45"
KS Smart Technologies Ltd,KSSMART,"Conglomerates","3023.8101",,,"-0.19","-0.19","0","-1.3550618692721892","0","0","-0.19","0","0","0","-0.19","0","0"
Quess Corp Ltd,QUESS,"Employment Services","3014.404730444",,,"320.8600000000006","221.62000000000054","0.7397444519166106","14.87","8.18","11","279.02000000000055","49.22","15321.68","41.84","229.80000000000055",,
Muthoot Microfin Ltd,MUTHOOTMF,"Specialized Finance","3013.257285597",,,"252.04999999999973","170.26999999999973","0","10.16","38.65","0","208.91999999999973",,"2380.7","43.13","208.91999999999973",,
Deep Industries Ltd,DEEPINDS,"Oil & Gas - Equipment & Services","3011.52",,,"216.53999999999996","179.93999999999994","0","28.12","-40.269999999999996","0","157.30999999999997","17.64","960.26","59.23","139.66999999999996",,
Mayur Uniquoters Ltd,MAYURUNIQ,"Textiles","3008.006235",,,"289.74","191.75","0.13596193065941536","44.13","67.24000000000001","6","260.38","1.39","1022.08","29.36","258.99",,
Premier Explosives Ltd,PREMEXPLN,"Commodity Chemicals","2991.541695775",,,"60.08000000000002","28.68000000000002","0.05623555962343092","8.891171410903354","9.109999999999998","0.5","48.61000000000002","10.82","419.56","11.47","37.79000000000002","3.81","269.81"
Deccan Gold Mines Ltd,DECNGOLD,"Mining - Diversified","2991.2556176099997",,,"-44.81","-52.59","0","-3.06","-23.58","0","-61.27","14.9","14.2","16.46","-76.17",,
Insolation Energy Ltd,INA,"Renewable Energy Equipment & Services","2987.008352625",,,"170.35999999999984","126.19999999999986","0.016983478605388295","5.88807524792202","27.419999999999998","0.1","161.18999999999986","7.57","1343.02","9.17","153.61999999999986","4.2","1082.38"
Sundaram Clayton Ltd,SUNCLAY,"Auto Parts","2957.0517090599997",,,"641.6699999999998","252.37999999999988","0.03930817610062893","114.48","75.64999999999999","4.5","435.8799999999999","107.85","2561.41","205.79","328.02999999999986",,
MSTC Ltd,MSTCLTD,"Commodities Trading","2950.464",,,"517.4100000000001","407.0600000000001","0.7004372819731733","57.82102272727274","100.92999999999999","40.5","508.3200000000001","0.33","689.19","9.09","507.9900000000001","1.22","0"
Hubtown Ltd,HUBTOWN,"Real Estate","2942.90460647",,,"342.10999999999996","148.48999999999995","0","10.62","39.86","0","339.00999999999993","150.66","832.91","3.1","188.34999999999994",,
ICICI Prudential Nifty 50 ETF,NIFTYIETF,"Equity","2931.489197622","0.0213","0.015874507866387545",,,,,,,,,,,,,
Prince Pipes and Fittings Ltd,PRINCEPIPE,"Building Products - Pipes","2930.97420429",,,"240.4399999999996","73.17999999999958","0","6.8","26.560000000000002","0","109.35999999999959","9.62","2609.22","131.08","99.73999999999958",,
Fusion Finance Ltd,FUSION,"Consumer Finance","2930.308372725",,,"-53.32999999999993","13.850000000000072","0","1.01","-76.78","0","-62.92999999999993",,"1732.5","9.6","-62.92999999999993",,
Easy Trip Planners Ltd,EASEMYTRIP,"Tour & Travel Services","2916.7562567759996",,,"161.22000000000008","107.35000000000007","0","0.3028993774453088","35.63000000000001","0","148.75000000000009","5.77","603.25","12.47","142.98000000000008","4.16","3.29"
Uflex Ltd,UFLEX,"Packaging","2914.09451753",,,"1641.0300000000002","142.31000000000012","0.15238040966903227","19.687570118205816","105.78000000000002","3","946.1600000000002","698.07","15199.27","694.87","248.09000000000015","673.24","9522.54"
Carysil Ltd,CARYSIL,"Home Furnishing","2907.68761138",,,"189.16000000000008","98.1900000000001","0.08690614136732329","34.52","31.709999999999997","3","149.60000000000008","19.7","937.07","39.56","129.9000000000001",,
Tatva Chintan Pharma Chem Ltd,TATVA,"Specialty Chemicals","2905.05931045",,,"96.71000000000004","42.05000000000003","0","17.98","14.96","0","59.860000000000035","2.85","509.41","36.85","57.01000000000003",,
ADF Foods Ltd,ADFFOODS,"Packaged Foods & Meats","2898.2016361",,,"143.93000000000006","89.93000000000006","0.14652014652014653","8.19","30.17","1.2","122.80000000000007","2.7","703.33","21.13","120.10000000000007",,
Steelcast Ltd,STEELCAS,"Iron & Steel","2874.586",,,"110.73000000000003","72.21000000000004","0.20181138346489394","7.13537549407115","25.130000000000003","1.44","98.18000000000004","0.84","380.62","12.55","97.34000000000003","41.31","82.4"
Shanti Educational Initiatives Ltd,SEIL,"Education Services","2870.63",,,"11.510000000000005","7.060000000000007","0","4.385093167701867","2.7199999999999998","0","10.230000000000006","0.45","63.25","1.28","9.780000000000006","0.12","23"
Zaggle Prepaid Ocean Services Ltd,ZAGGLE,"Software Services","2870.41888386",,,"227.3699999999999","138.0899999999999","0","10.28","47.07","0","190.4899999999999","5.33","1950.06","36.88","185.15999999999988",,
Gufic Biosciences Ltd,GUFICBIO,"Pharmaceuticals","2864.56978389",,,"139.72999999999993","69.65999999999994","0.014395277921332198","6.9467224284576785","24.49","0.1","118.66999999999993","24.52","823.4399999999999","21.06","94.14999999999993","18.46","399.62"
Savita Oil Technologies Ltd,SOTL,"Commodity Chemicals","2861.02611795",,,"290.5600000000004","181.8400000000004","0.1885369532428356","26.52","62.550000000000004","5","263.8700000000004","19.48","4407.67","26.69","244.3900000000004",,
Nippon India ETF Nifty Midcap 150,MID150BEES,"Equity","2860.515265005","0.24","0.13493331686429413",,,,,,,,,,,,,
Dalmia Bharat Sugar and Industries Ltd,DALMIASUG,"Sugar","2840.5648387849997",,,"519.2200000000003","236.71000000000026","0","29.12","82.83","0","382.92000000000024","63.38","3711.76","136.3","319.54000000000025",,
Interarch Building Solutions Ltd,INTERARCH,"Building Products - Prefab Structures","2815.834291",,,"201.73000000000002","134.53000000000003","0.15545330182813083","80.41","50.470000000000006","12.5","187.29000000000002","2.29","1926.63","14.44","185.00000000000003",,
Nalwa Sons Investments Ltd,NSIL,"Asset Management","2814.36051585",,,"65.02","46.71","0","90.94337543415192","18.29","0","65",,"126.42999999999999","0.02","65",,
Rossari Biotech Ltd,ROSSARI,"Specialty Chemicals","2810.5705958400004",,,"310.17999999999984","149.21999999999986","0.01855287569573284","26.95","53.3","0.5","231.05999999999983","28.54","2420.64","79.12","202.51999999999984",,
Nocil Ltd,NOCIL,"Commodity Chemicals","2803.84749991",,,"132.26","55.629999999999995","0.45045045045045046","3.33","20.39","1.5","77.41","1.39","1339.85","54.85","76.02",,
Nitin Spinners Ltd,NITINSPIN,"Textiles","2802.8481",,,"457.7600000000002","177.5500000000002","0.09499683343888538","31.58","61.220000000000006","3","309.6300000000002","70.86","3218.88","148.13","238.7700000000002",,
Medi Assist Healthcare Services Ltd,MEDIASSIST,"Insurance","2802.43960263",,,"178.88","87.87","0","12.14","-7.530000000000003","0","101.75","21.41","923.24","77.13","80.34",,
Maithan Alloys Ltd,MAITHANALL,"Iron & Steel","2799.51220575",,,"671.1900000000003","433.6500000000002","0.11412459720730397","148.96","170.24999999999997","17","648.0000000000002","44.1","2584.55","23.19","603.9000000000002",,
Elpro International Ltd,ELPROINTL,"Real Estate","2795.2192910900003",,,"221.78999999999996","87.35999999999997","0","5.16","13.02","0","206.62999999999997","106.25","593.18","15.16","100.37999999999997",,
Polyplex Corp Ltd,POLYPLEX,"Commodity Chemicals","2789.5341733200003",,,"791.4100000000005","209.21000000000055","0.20257073610248022","66.64338719276002","236.14","13.5","491.4300000000005","46.08","6980.56","299.98","445.35000000000053","443.32","4177.07"
Sanghvi Movers Ltd,SANGHVIMOV,"Business Support Services","2788.61296",,,"421.1600000000001","184.30000000000013","0.09394081728511039","21.29","68.59","2","289.4900000000001","36.6","1099.63","131.67","252.89000000000013",,
EFC (I) Ltd,EFCIL,"Real Estate","2770.29188345",,,"345.19000000000017","112.82000000000015","0","11.158760683286172","87.02","0","245.52000000000015","45.68","674.26","99.67","199.84000000000015","26.66","0"
Venus Pipes and Tubes Ltd,VENUSPIPES,"Iron & Steel","2767.2579738",,,"178.24999999999986","92.87999999999985","0.021924644702842413","45.610773335376116","32.48","1","159.71999999999986","34.36","969.1799999999998","18.53","125.35999999999986","31.22","748.5"
Orient Cement Ltd,ORIENTCEM,"Cement","2765.6953504529997",,,"562.1300000000001","337.68000000000006","0.03041362530413625","16.44","-19.38000000000001","0.5","331.0200000000001","12.72","2816.19","231.11","318.30000000000007",,
Nxt-Infra Trust,NXT-INFRA,"Roads","2764.5",,,"422.9299999999999","193.5099999999999","0","6.789824561403505","30.5","0","422.7299999999999","198.72","619.95","0.2","224.0099999999999","4.44","0"
Arvind Smartspaces Ltd,ARVSMART,"Real Estate","2763.94415454",,,"190.95999999999987","110.47999999999988","0.24685497284576421","24.30576921676526","54.75","6","186.03999999999988","20.81","736.1099999999999","4.92","165.22999999999988","2.48","52.14"
Reliance Infrastructure Ltd,RELINFRA,"Power Infrastructure","2753.18215353",,,"11689.33","4937.52","0","124.53211644800088","3546.36","0","10268.1","1784.22","32374.27","1421.23","8483.880000000001","14873.42","0"
Euro Pratik Sales Ltd,EUROPRATIK,"Building Products - Laminates","2750.713",,,"113.27000000000001","77.09000000000002","0.026525198938992044","7.54","26.8","0.2","107.06000000000002","3.17","343.04","6.21","103.89000000000001",,
TVS Srichakra Ltd,TVSSRICHAK,"Tires & Rubber","2750.41236",,,"225.1100000000002","20.61000000000022","0.627499148471609","26.916371187337447","15.9","16.89","96.35000000000022","59.84","3525.02","128.76","36.51000000000022","130.18","1943.52"
V-Marc India Ltd,VMARCIND,"Electrical Components & Equipments","2749.03774872",,,"204","100.05000000000001","0","40.97","33.98","0","179.46","45.43","1800.48","24.54","134.03",,
Gateway Distriparks Ltd,GATEWAY,"Logistics","2744.543591148",,,"494.72","255.66000000000008","0.390625","5.12","27.139999999999997","2","342.07000000000005","59.27","2229.44","152.65","282.80000000000007",,
Borosil Ltd,BOROLTD,"Housewares","2739.035054616",,,"194.30999999999995","74.65999999999995","0","6.24","26.28","0","107.48999999999995","6.55","1225.55","86.82","100.93999999999996",,
Ganesha Ecosphere Ltd,GANECOS,"Textiles","2732.62130086",,,"228.47999999999993","103.11999999999993","0.11085039565554701","40.595254291948194","32.3","4.5","173.50999999999993","38.09","1483.48","54.97","135.41999999999993","123.14","909.21"
Welspun Specialty Solutions Ltd,WELSPLSOL,"Iron & Steel","2712.068644385",,,"64.88000000000011","22.67000000000011","0","0.34","-0.31","0","48.17000000000011","25.81","904.19","16.71","22.36000000000011",,
Kewal Kiran Clothing Ltd,KKCL,"Apparel & Accessories","2710.2756363",,,"261.54999999999995","141.89999999999998","0.08684324793747286","23.03","60.83","2","217.21999999999997","14.49","1236.53","44.33","202.72999999999996",,
Standard Engineering Technology Ltd,SETL,"Specialty Chemicals","2704.10947841",,,"137.95000000000005","80.05000000000004","0","4.01","31.15","0","121.95000000000005","10.75","793.09","16","111.20000000000005",,
Kilburn Engineering Ltd,KLBRENG-B,"Industrial Machinery","2700.379329",,,"104.87","62.39","0.14314508094245876","13.971838828355946","20.28","2","97.54","14.87","427.62","7.33","82.67","2.88","181.15"
