Name,Ticker,"Sub-Sector","Market Cap","1Y Forward Revenue Growth","1Y Hist Op. Cash Flow Growth","1Y Historical EPS Growth","1Y Forward EBITDA Growth","1Y Fwd Op. Cash Flow Growth","1Y Historical Revenue Growth","5Y Historical EBITDA Growth","5Y Hist Op. Cash Flow Growth","3Y Historical Dividend Growth","5Y Historical Revenue Growth","5Y Historical EPS Growth","1Y Historical EBITDA Growth","1Y Forward EPS Growth"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1840019.2900303397","3.8593015344588055","12.5418797390231","15.975487550094035","12.98","-0.4438648845198969","10.533535639089786","15.032627437029822","13.499560515408549","13.668404766791543","16.54559221173708","11.987371084275944","13.351179247854674","8.895962472776013"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1169343.2606485","-58.62891303587447","567.2587514827467","6.62636808859723",,,"5.21258221186105","18.247775892814232",,"17.7251803114417","26.020497798089792","11.324921190495619","2.0931803443331822","10.303030303030305"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","1160404.30227762","12.32795603176396","24.631740648075624","-22.223297325946746","15.784999999999998","12.106486586512744","10.169425258736965","23.804675889288184","40.2380352855437","81.71205928321396","13.763504304166263",,"12.97365655625516","37.293298520452566"
ICICI Bank Ltd,ICICIBANK,"Private Banks","887112.8190763199","-56.61902106623911","-21.921565306379886","5.17987374619679",,"-98.90421437273162","5.951190706254339","23.00220861206419","9.068478120630875","14.471424255333186","14.108330983309902","22.54425407900871","2.0885827332362474","3.636842798787726"
State Bank of India,SBIN,"Public Banks","877739.4262527401","-62.14442583938145","124.13704794144716","4.893504903724712",,"-99.16791594841634","7.432080570284483","25.581888424044806","15.170323587632684","15.364895906494613","13.085292664294679","29.421966201251813","3.3266740228081","-1.6564282580078882"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","842073.68893932","6.766191516562708","6.514271693792427","1.3531604638230317","10.184","20.98290405521223","4.68093148106723","8.32187070680439","6.068571239102627","-1.4708018867451211","10.160127596869728","9.337078833162082","1.268057560005044","15.06415292968908"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","574292.70542025","-21.869337301825382","2.4180411839015026","13.97755618163924",,,"17.583760511331747","33.536664282023864",,"25.99210498948732","25.176265126472753","32.985104997896016","16.83321269199181","30.718954248366007"
Larsen and Toubro Ltd,LT,"Construction & Engineering","537992.3385507901","9.680613138942427","-49.84906614811555","6.915897227964769","19.691","-2.6736697346148333","12.023394557876689","4.942927118644258","6.475635899692445","16.553177619681136","14.583854397351882","7.2281370643655585","6.803952185728776","29.251612075600768"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","519095.19751365995","0.3704076063539399","-23.16245394013834","43.57585920698495","5.745","-17.062512121016226","7.550434057277022","11.094832237562757","9.290386350360325","2.2405361712059646","7.923259131982241","12.934710448872643","23.489019486545004","-25.22379315731918"
Life Insurance Corporation Of India,LICI,"Insurance","506347.690953555","7.409980037721891","-134.44625082021432","18.09687146105102","4.1160000000000005",,"3.795344912659937","32.45849311520934",,"100","6.605168995696986","77.91684685332318","19.57470890582646","4.1942198035069795"
Infosys Ltd,INFY,"IT Services & Consulting","483047.29062591","6.1417867214655795","-4.785117946993893","11.460013076989702","5.587000000000001","8.50533261720247","9.833723512815906","8.53257965951264","7.912711735795264","12.181378776036711","12.24982605269771","9.527672278393617","5.782519376225604","7.111450777853268"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","451146.9544091","6.575653387481339","15.963025897034859","14.124961624329911","10.537","-11.711753281691983","9.70558161547348","17.590019450059447","16.509202445049965","16.96070952851465","10.322183575687504","23.755646113399663","19.274508391558054","10.97624561123386"
Adani Power Ltd,ADANIPOWER,"Power Generation","424726.11618292","7.8489553666723815","51.73523216056288","-1.3316729897045256",,,"-1.7664635232200188","17.198861024694544","30.885814482737416",,"15.501844397744136","58.65536960873956","-2.4046387522919184","0.45317220543807024"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","408817.6669722","9.894763936971248","-3.957478974590937","1.2362324661729256","2.697","10.999875008183977","18.826507421018324","25.28013180386268","35.78473155038439","15.867554829548336","20.665147652268836","26.297307314196594","2.661039083642887","11.308631398586437"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","408399.78971147997","9.091802438121443","14.707429559223248","13.398282925152579","16.836000000000002","3.779997723170439","26.40256740735638","18.617680466793974","18.405183133320826","14.471424255333186","23.140630340492784","18.825202134485465","25.473699836061204","12.828438948995373"
Axis Bank Ltd,AXISBANK,"Private Banks","388638.42215172003","-41.262687245298515","899.0336059567895","-6.27692957492589",,"-104.50071741435585","4.037465864820544","24.662580636927856","7.851271564723827","0","15.778066985839967","28.31045499688074","-16.08955963834822","18.708842897460013"
ITC Ltd,ITC,"FMCG - Tobacco","385343.795444405","-20.307508974562765","2.6089041996966054","73.95439726115784","9.440999999999999","38.66490558744874","30.588890778710653","14.929217918317983","3.713079375909123","9.66986417056901","12.320690837206993","18.03709490804013","53.00638404262857","-40.08096966941613"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","381150.2237304","-56.1359710683138","7.846541281479118","-12.843231550995045",,"-97.9780555845157","0.7810352374862495","13.782392628630436","-18.35193909338613","29.398934610938454","13.85765862169861","13.587909540386223","-13.154787480362495","-13.762886597938136"
NTPC Ltd,NTPC,"Power Generation","380545.66242883","-9.507293012232727","25.777977061382025","12.543646924906929","2.616",,"7.04509429159399","9.582013776573795","15.457005003210721","6.0545922319713785","10.829262444088549","15.55479355892846","11.007896615088272","-11.361659935856743"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","375991.59436953","32.777947230266136","-56.235290466913426","25.87389965376012","49.661","70.03635010283443","7.523477192824024","53.63597983546651","12.962853607064218","3.770594772896785","22.7227462701191","56.21492091693416","24.323206874030802","-59.29156753899022"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","375269.72871497995","2.734709722646014","-8.071516059073748","-26.286710543236953","2.773","-13.08515949801074","1.1965975190454836","13.983250156693373","5.179250657241474","5.272659960939663","8.986909200197735","27.376590492886322","-12.772730451963705","20.678395940991628"
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","374901.99406607996","-19.319527025950844","156.40920434462117","32.09726363872964","-35.793","-341.542027216003","25.23791762672014","27.207353275399004",,"26.63493297902104","21.49596952358861","56.444455984902","22.96068015980531","-8.349751796211622"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","364256.2655664","-1.2117498893767658","-131.9174041297935","52.5295175307162","22.893","80.08849557522123","44.62202385835945","35.82715471764939",,"14.471424255333186","32.19678875202776","39.156380897653435","42.48503478401553","14.880223815352343"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","335618.1365715","11.350846299387669","-2.056519177722684","34.08717978568029","21.074","12.869509999504473","16.153654596586907","7.436222298571926","3.532996912953368","84.8456416230806","14.330538631597012","7.962615661319106","32.21056844141332","20.86134284273467"
JSW Steel Ltd,JSWSTEEL,"Iron & Steel","319303.1106288","-1.7858240115250614","73.03361483689352","696.5166382025401","21.564","138.47334476283777","20.386625609079868","18.351819533992987","10.327799120989646","27.81833143680967","20.46837126153358","28.34903033338332","110.33862619528028","-32.297932844799305"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","316520.59020372","6.913105205279713","-0.8330363506771205","-4.093239332857966","6.353000000000001","-9.76055773342837","10.150577212648493","5.432576309662229","10.752654460671284","4.0041911525952045","11.529118105323178","8.396122317524979","-2.3687877380399445","17.157468272046863"
Bharat Electronics Ltd,BEL,"Electronic Equipments","302113.15900257","13.220441125008614","-87.41021013029324","13.875316629352197","13.651","-9.715440960276752","14.952525609815304","20.87568446680681","-25.583216841325918","11.57215834702825","14.633893365227424","23.622504847102665","13.67544937200733","14.595898673100132"
Bajaj Auto Ltd,BAJAJ-AUTO,"Two Wheelers","292188.05065125","2.449032688906084","-121.43238347341328","46.761986544213656","19.102","20.466716274076873","25.11770768850765","19.359090761562857",,"2.3264108093813185","17.489760774832686","18.061412238682184","42.970038071365146","3.6363636363636362"
Hindustan Aeronautics Ltd,HAL,"Aerospace & Defense Equipments","289345.50375","0.9256461236922572","65.92191000167826","8.982084807385812","-8.933","-33.83717508105491","9.653078759290935","18.808334112487547","54.95118996885251","8.37067626618271","9.640790415754141","22.938189219290408","10.493938712513017","8.950843727072625"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","283255.6730636","15.290192341466618","5.173564059989584","10.22803226273654","-42.777",,"12.482603309277017","22.149759510455127",,"23.310603716523516","19.964262279749832","16.88947292647134","13.066501113829732","29.36378466557912"
Coal India Ltd,COALINDIA,"Mining - Coal","282684.34835949","-2.7756194054434946","61.29646303671748","-12.051059393243337","-7.37","117.4859554440952","17.6991914742503","18.953098585831608","42.45504766436841","3.3246670436251957","13.986159342025694","19.614564107079158","-6.52563990769069","8.006341656757826"
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","278925.10853181","1.4642387274001165","-2.8592767401010986","2.644692386447366","5.357","-1.4241274353370414","-0.3571388271402909","0.19506874027070964","3.3381487422908585","6.862779588800549","2.8159935821922444","5.767942172796192","-11.918731454078491","6.85977816695856"
Nestle India Ltd,NESTLEIND,"FMCG - Foods","273839.9165832","12.748346288106779","-29.664725650871063","9.112775971991555",,,"9.793365137801313",,,,,,"8.606301231560689","12.396694214876034"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","270269.71868064","19.888780165539256","-10.301765579931837","9.696252443482305","26.453","24.592110246773302","15.82398546392576","22.090348723284635","13.983064957753033",,"23.133388083284444","21.880631225624782","14.074168842320395","22.836801752464414"
Hindustan Zinc Ltd,HINDZINC,"Mining - Diversified","266385.236355","13.337543792750072","6.099205754533194","33.7681831353231","22.144","1.1479094859883077","19.65721781782923","11.43204753462066",,"-34.723411716402","11.407995030720564","11.631576298440049","26.744313210848645","26.14538790470371"
Tata Steel Ltd,TATASTEEL,"Iron & Steel","258421.586430241","11.241217592334475","15.817901576647486","215.4591181874917","-35.083",,"6.685339426215298","2.719952329940556","3.1149285907642987","3.5744168651286268","8.294208100150978","6.813029827709927","34.05944187521369","68.20809248554913"
Asian Paints Ltd,ASIANPAINT,"Paints","249113.3064987","1.4702479336455536","-27.518841339537325","-32.837444576510514","1.056","-4.320401074775532","-4.6722229427555995","7.095528452988531","7.805370354848984","9.000285174207235","10.976626763289454","6.274413586904659","-24.381687235454926","19.009441581247934"
Hindalco Industries Ltd,HINDALCO,"Metals - Aluminium","242734.4307284","9.826518301707662","1.471566345194546","57.56658122268942","15.459999999999999","-8.962421017625545","10.88804402293091","17.199615719169525","14.023014110068477","7.721734501594191","15.108381401142301","33.260169666597065","32.476074199519516","5.357876179613779"
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","224543.0534496","32.18973876546783","8.440295604823026","5.85812612673131","41.92",,"7.407119539872542","34.16153788098413","33.60117997839054",,"30.832087106058825","48.3575820475707","12.101910828025478","96.89119170984456"
Eternal Ltd,ETERNAL,"Online Services","223724.172283786","72.14472740315638","-52.3219814241486","-32.63660327134724",,,"161.53846153846155",,,,"92.33705388194475",,"51.92532088681447","400"
