Name,Ticker,"Sub-Sector","Market Cap","Mutual Fund Holding","Domestic Institutional Holding"," MF Holding Change – 6M","Promoter Holding Change – 3M","Foreign Institutional Holding","DII Holding Change – 6M","FII Holding Change – 6M","DII Holding Change – 3M","Promoter Holding Change – 6M ","MF Holding Change – 3M","Promoter Holding","Pledged Promoter Holdings","FII Holding Change – 3M","Insider Trades - 1M Cumulative","Insider Trades - 3M Cumulative","Retail Investor Holding","Bulk Deals - 6M Cumulative","Bulk Deals - 1M Cumulative","Insurance Firms Holding","Bulk Deals - 3M Cumulative","Insider Trades - 6M Cumulative","No. of Shareholders"
Murae Organisor Ltd,MURAE,"Fertilizers & Agro Chemicals","38.852354079","0","0.0000016138018271044697","0","0","0","0.0000016138018271044697","0","0","-0.000015062150386308386","0","0","0","0",,,"43.371059760592274","0.011079438949857634","0","0","0",,"133664"
Aro Granite Industries Ltd,AROGRANITE,"Building Products - Granite","38.709","0","0","0","0","0","0","0","0","0","0","41.082718954248364","0","0",,,"29.948594771241833","-0.1378169934640523","0","0","0",,"11285"
Camex Ltd,CAMEXLTD,"Specialty Chemicals","38.7011817","0","0.009795566526590065","0","-0.27261061643499573","0","0","0","0","-0.27261061643499573","0","44.48226512680361","0","0",,,"15.739320383594386",,,"0",,,"3887"
VL Infraprojects Ltd,VLINFRA,"Water Management","38.65275","0","0","0",,"0.6491646778042959","0","-0.04773269689737469",,"0.30548926014320443",,"65.69928400954655","0",,,,"18.548926014319807","0.639618138424821","0","0","0.639618138424821",,"903"
Indobell Insulations Ltd,INDOBELL,"Building Products - Others","38.637605616","0","1.7857278912601238","0","0","0","0.8809590930216611","0","-0.02380970521680159","0","0","64.99687616667555","0","0",,,"16.64584111117037",,,"0",,,"470"
Blue Pebble Ltd,BLUEPEBBLE,"Construction & Engineering","38.6376","0","0.00980392156862745","0",,"0","0","0",,"0",,"73.52941176470588","0",,,,"20.833333333333336","0.5392156862745099","0","0","0.5000000000000001",,"792"
Akshar Spintex Ltd,AKSHAR,"Textiles","38.5859565","0","0","0","0","0","0","0","0","0","0","0.274689463769027","0","0",,,"60.291468039673966","-0.6186659013445627","0","0","-0.6186659013445627",,"142952"
Shri Kanha Stainless Ltd,SHRIKANHA,"Building Products - Others","38.56644","0","0",,"1.591539172399635","0.03080398398192833",,,"0",,"0","68.59020433309375","0","0",,,"30.66023205667933","9.011494252873561","0","0","0",,"1379"
Anupam Finserv Ltd,ANUPAM,"Consumer Finance","38.52285325","0","0.012752430273320941","0","0","0","0","0","0","0","0","51.747464993393244","0","0",,,"35.45549968316534",,,"0",,,"51126"
Promax Power Ltd,PROMAX,"Power Generation","38.5","0","0","0","-0.28000000000000114","0","0","0","0","-0.28000000000000114","0","68.96968","0","0",,,"6.81016",,,"0",,,"365"
Citadel Realty and Developers Ltd,CITADEL,"Real Estate","38.493","0","0.029283564118001204","0","0","0","-0.0006261288380493661","0","0","0","0","66.67987959060807","0","0",,,"20.142793497892836",,,"0",,,"3222"
