Name,Ticker,"Sub-Sector","Market Cap","Current Ratio","Cash Conversion Cycle","Interest Coverage Ratio","Long Term Debt to Equity","Debt to Equity","Quick Ratio","Net Income / Liabilities","Working Capital Turnover Ratio","Inventory Turnover Ratio","Asset Turnover Ratio","Days of Inventory Outstanding","Earning Power","Days of Sales Outstanding","Days Payable Outstanding","Price Momentum Rank","Fundamental Score","Value Momentum Rank","Earnings Quality Rank","Price to Intrinsic Value Rank"
Madala Holdings Ltd,MADALA,"Real Estate",,"20.68965517241379",,"34.93939393939394","0","0","20.68965517241379","82.0342205323194","1.516037352821762",,"0.15599281447132057","0","9.52184325708151","40.957418318157465","113.15000000000002",,,,,
Jeet Machine Tools Ltd,ZJEETMAC,"Industrial Machinery",,"0.5618556701030928",,,"0","0","0.5000000000000001",,"-0.24299065420560753","0.6666666666666667","0.03367875647668394","547.5",,"0","91.25",,,,,
Vsd Confin Ltd,VSDCONF,"Real Estate",,"411",,,"0.10474860335195531","0.10474860335195531","411",,"0",,"0",,,,,,,,,
Midland Polymers Ltd,MIDPOLY,"Plastic Products",,"0.17154811715481175",,,,,"0.17154811715481175",,"0",,"0",,,,,,,,,
Tirupati Finlease Ltd,TFLL,"Specialized Finance",,"10.303571428571427",,,"0.9140767824497257","0.9140767824497257","10.303571428571427","10.766721044045681","0.21911421911421916",,"0.19222903885480574",,"6.379310344827588","893.0851063829787",,,,,,
U F M Industries Ltd,UFMINDL,,,"1.5494071146245059",,"1.987096774193568","0.0987868284228769","0.5281629116117851","0.4657444005270093","6.376195536663282","17.9444101297097","10.131282820705175","3.8347412882787753","36.02702702702703","7.350835322195776","9.560959658543299","6.175675675675676",,,,,
Sueryaa Knitwear Ltd,SUERYAAKNI,"Textiles",,"96.5",,,"0","0","96.5",,"0.018126888217522657","0","0.01395348837209302",,,"0",,,,,,
Vardhan Capital and Finance Ltd,VARDHANCFL,"Specialized Finance",,"1.2149122807017545",,,"0.48333333333333334","0.48333333333333334","1.2149122807017545",,"0.808080808080808",,"0.028149190710767068",,,"0",,,,,,
Shikhar Leasing and Trading Ltd,SHIKHARLETR,"Specialized Finance",,"31.5",,,"0.18963165075034105","0.18963165075034105","31.5","9.722222222222223","0.33279483037156704",,"0.10934182590233546",,"2.6225769669327255","0",,,,,,
Tivoli Construction Ltd,TVOLCON,"Construction & Engineering",,"84.5",,,"0","0","84.5",,"0.11242603550295857",,"0.07392996108949415",,,"0",,,,,,
Sidh Automobiles Ltd,SIDH,,,"5.310344827586207",,,"0","0","5.310344827586207","308.98876404494365","1.1573604060913705",,"0.6752221125370188",,"49.775112443778106","34.152046783625735",,,,,,
Raideep Industries Ltd,RAIDEEPIND,"Textiles",,"1.1317135549872122",,"59.499999999999815","0.00935125657510228","0.00935125657510228","1.0127877237851661","13.999999999999957","21.838565022421538","15.54109589041096","0.9396102643256801","23.486117232260902","4.7391477499004235","4.496919917864477","146.54693697664166",,,,,
Alna Trading and Exports Ltd,ALNATRD,"Tea & Coffee",,"180",,,"0","0","180","99.99999999999892","1.1853932584269662",,"1.057644110275689",,"0.9950248756218913","0",,,,,,
Healthy Investments Ltd,HEALINV,"Specialized Finance",,,,,"0","0",,,"0.1909090909090909",,"0.009644087256027554",,"0.3659652333028362","0",,,,,,
Jyot International Marketing Ltd,JYOTIN,"Asset Management & Custody Banks",,"4.129032258064516",,,"1.6836633663366336","1.6836633663366336","4.129032258064516",,"7.1743119266055055",,"0.09320064358500685",,,"0",,,,,,
Ventura Guaranty Ltd,SHYAM,"Diversified Financials",,"1.457125118691111",,,"0.2031661521905355","0.22876723967035767","1.457125118691111","6.073913815651388","1.0509380286021837",,"0.2642736992710891",,"5.984698914116486","90.31203131287266",,,,,,
Springform Technology Ltd,ZNEWSAGA,"Software Services",,"4.999999999999999",,,,,"4.999999999999999",,"0.3043478260869565",,"0.21874999999999997","0",,"547.4999999999999","182.5",,,,,
Vivid Global Industries Ltd,VIVIDIND,,,"1.7807407407407407",,"2.0392156862745083","0.00654450261780107","0.16164921465968587","1.0837037037037038","2.7445460942997837","4.113636363636362","2.8294089380105714","1.4264176803152302","129.0022078804348","3.5266191929467596","71.32536632236369","125.09680706521739",,,,,
Nurture Well Industries Ltd,NWIL,"Packaged Foods & Meats",,"1.6065685939103658",,"77.10434782608691","0.004371548777281093","0.0051932684722587425","1.5368343026570872","37.49790467676144","11.224933136837514","0","2.701255713760311",,"18.350199706131896","51.58226032326455",,,,,,
Advance Multitech Ltd,ADVMULT,"Textiles",,"2.7255813953488373",,"5.777777777777779","0.19597989949748745","0.19597989949748745","2.037209302325581","5.434782608695653","1.303780964797914","2.4709388971684056","0.6553079947575361","147.71712907117006","3.172666259914582","171.185","120.19903498190591",,,,,
Kalind Ltd,KALIND,"Real Estate",,"8.294117647058822",,"214.82352941176464","0","0.12658227848101267","8.294117647058822","3240.4761904761876","20.967088607594935",,"10.940554821664463",,"510.05586592178753","0",,,,,,
TTL Enterprises Ltd,TTLEL,,,"0.9991666666666666",,,,,"0.9991666666666666","0.2499999999999994","-194.0740740740744",,"1.401444236426852",,"0.37499999999999944","258.84351145038164",,,,,,
Jumbo Finance Ltd,JUMBFNL,"Investment Banking & Brokerage",,"1.7848101265822782",,,"0.2160831509846827","0.2160831509846827","1.7848101265822782","120.67510548523212","44.40000000000001",,"0.2760049730625777",,"21.503040834057337","0",,,,,,
Multiplus Holdings Ltd,MULTIIN,"Investment Banking & Brokerage",,"48",,,"0","0","48","443.47826086956906","0.16011787819253437",,"0.06769102990033223",,"5.566842746850873","0",,,,,"5",
Punctual Trading Ltd,PUNCTRD,,,"3.4534686971235193",,,"0","0","3.4534686971235193","162.6760563380281","1.0842490842490844",,"0.5952141564448019",,"52.229068503080825","0",,,,,,
Hariyana Ventures Ltd,HVL,,,"4.857142857142858",,"61.999999999999986","0.29940119760479045","0.37125748502994016","4.857142857142858","69.84126984126979","-3.8139534883720954",,"0.23196605374823195",,"26.95652173913043","6.676829268292683",,,,,,
