Name,Ticker,"Sub-Sector","Market Cap","Lot Size","Fair Value","Future Close Price","1D Change in Future OI","Rollover Cost","Highest Put OI Strike","1D Change in Future Volume","Basis","Put Call Ratio","Cash & Carry Profit","1W Change in Put OI","Future Open Interest","Highest 1D OI Change CE Strike","Highest 1D OI Change PE Strike","Highest 1W OI Change CE Strike","1W Change in Future Volume","1W Change in Future OI","Fair Value Spread","Future Volume","Highest 1W OI Change PE Strike","Highest Call OI Strike","1 D Change in Call OI","1D Change in Put OI","Call Open Interest","1W Change in Call OI","Percentage Rollover","Calendar Spread","Put Open Interest"
Axis Bank Ltd,AXISBANK,"Private Banks","388638.42215172003","625","1249.336078725109","1253.8","-11.69526408287855","0.53437549848461","1200",,"4","0.5348609372448702","2500","9.14038205242113","47733125","1330","1320","1240","-0.053394745820539","-16.91723597754667","4.463921274890936","6946250","1230","1300","-0.0366758421811508","3.26817990752417","22966250","14.14282608020376",,"6.7000000000000455","12283750"
ITC Ltd,ITC,"FMCG - Tobacco","385343.795444405","1600","293.0687369526539","308.25","-4.60814223197248","0.63260340632603","290",,"0.6999999999999886","0.3434733102560033","1119.9999999999818","5.82432592242194","133577600","307.5","355","312.5","-0.1106150079216476","-13.56483207023646","15.181263047346079","9956800","270","310","0.0016183606174182","1.11002325919054","130264925","1.6489035563871102",,"1.9499999999999889","44742525"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","381150.2237304",,,,,,"360",,,"0.6352266805627931",,"4.70259823920979",,"375","410","440",,,,,"390","390","-0.0196679438058748","-2.47349823321554","46056000","8.14821772413469",,,"29256000"
NTPC Ltd,NTPC,"Power Generation","380545.66242883","1500","382.6129406967164","392.7","-4.55839154985312","0.54749172396232","390",,"0.25","0.2591030765281801","375","26.32519889157056","94062000","395","382.5","390","0.3272952469422512","-10.78293283252949","10.087059303283581","12933000","360","400","-0.0076416433172009","10.84790963997175","81813000","18.73734625013605",,"2.150000000000034","21198000"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","375991.59436953","309","2702.3444293368125","2712","-12.842356420338069","0.70058997050147","2500",,"7.199999999999818","0.6448666331152492","2224.799999999944","36.25584857507444","16028139","2660","2780","2800","0.1874008057624221","-19.05274656679151","9.655570663187518","3008115","2680","2800","-0.0228429516339226","-0.62046767751192","12279660","56.35204784199552",,"19","7918743"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","375269.72871497995","2250","284.15456077600066","298.5","-10.100556652899979","0.7035175879397","280",,"0.1999999999999886","0.3742641126019783","449.9999999999744","3.23963399554858","67587750","295","297.5","335","-0.674597875569044","-18.31012727074948","14.345439223999335","12084750","275","305","0.0321396625643872","3.50413223140495","75291750","0.78609722305884",,"2.1000000000000227","28179000"
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","374901.99406607996","200","3112.8775801062693","3124","-10.17208196535718","0.56338028169013","3100",,"1.800000000000182","0.9013655462184874","360.0000000000364","-1.29974695192086","12695200","3680","3600","3100","0.5482599238716694","-15.11180057772547","11.122419893730694","2284800","3600","3100","-0.0701308849384645","2.9143679539457903","5712000","-4.75555259120923",,"17.59999999999991","5148600"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","364256.2655664","175","4080.784808000105","4105.8","-9.95072209211553","0.42866189293193","4100",,"-0.5999999999994543","0.505484687546533",,"-6.3927570200836294","6459775","4450","4350","4450","-0.0993107465294631","-12.59264521323199","25.01519199989525","1628200","4350","4500","-0.0330213582913366","-4.6397303244533905","7051450","-13.394661049735628",,"17.599999999999454","3564400"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","335618.1365715","50","11326.790638897046","11441","-2.89132368778386","0.49820819858403004","11500",,"32","0.4115352172079291","1600","17.28939196634278","2073950","11600","11400","11500","-0.1310284078396828","-0.20690484782869997","114.20936110295406","199100","11400","12200","-0.0044438223870674","-0.5689538043478201","1422600","6.90212286304714",,"57","585450"
JSW Steel Ltd,JSWSTEEL,"Iron & Steel","319303.1106288","675","1280.4249969387183","1285","-12.10654100880658","0.44357976653695996","1240",,"1.7999999999999543","0.5545257181028724","1214.9999999999693","20.025302729080067","41296500","1310","1240","1440","1.516195727084769","-14.87763137756876","4.575003061281677","7401375","1250","1300","-0.075140937524133","-3.2347369954830203","8083800","26.703343207786713",,"5.7000000000000455","4482675"
