Name,Ticker,"Sub-Sector","Market Cap","Operating & Other expenses","Employee Cost","Selling & Administrative Expenses","Net Income (Q)","Total revenue (Q)","EPS (Q)","EBITDA (Q)","Operating and Other Expenses (Q)","PBIT (Q)","PBT (Q)"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1840019.2900303397","878270",,,"16971","298506","12.54","48588","249918","33780","27195"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1169343.2606485","393321.36",,,"20350.760000000006","116919.94","13.22","27671.630000000005","89248.31","27671.630000000005","27671.630000000005"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","1160404.30227762","94715.8",,,"7325.0999999999985","56346.1","12.53","29293.8","27052.3","15650.3","10044.699999999999"
ICICI Bank Ltd,ICICIBANK,"Private Banks","887112.8190763199","235061.03000000003",,,"14686.290000000006","84613.66","20.62","20744.210000000006","63869.45","20744.210000000006","20744.210000000006"
State Bank of India,SBIN,"Public Banks","877739.4262527401","598615.55",,,"19296.18999999998","181079.02","21.28","26075.50999999998","155003.51","26075.50999999998","26075.50999999998"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","842073.68893932","19678","154994","24434","13718","71455","37.92","20033","51422","18627","18362"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","574292.70542025","55180.33",,,"5464.569999999998","21616.71","8.79","7665.359999999999","13951.35","7409.839999999998","7409.839999999998"
Larsen and Toubro Ltd,LT,"Construction & Engineering","537992.3385507901","251450.32",,,"5325.599999999993","84409.4","38.71","12066.259999999995","72343.14","10898.309999999994","8410.279999999993"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","519095.19751365995","49664",,,"2992","16862","12.73","4340","12522","3992","3916"
Life Insurance Corporation Of India,LICI,"Insurance","506347.690953555","5425.199999999953","26946.68","804319.83","12930.439999999988","236776.3","20.44","13188.049999999988","223588.25","13188.049999999988","13188.049999999988"
Infosys Ltd,INFY,"IT Services & Consulting","483047.29062591","35540","95094","6802","8501","47561","21.01","12326","35235","10902","10797"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","451146.9544091","4626.64","9973.12","12222.92","3368.809999999999","16099.38","14","5037.8499999999985","11061.53","4305.519999999999","4227.159999999999"
Adani Power Ltd,ADANIPOWER,"Power Generation","424726.11618292","34434.41",,,"4017.0799999999995","15989.09","2.08","6498.469999999999","9490.62","5351.24","4383.98"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","408817.6669722","161859.8",,,"3658.9999999999995","53043.7","116.38","6739.5","46304.2","4991.4","4918.4"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","408399.78971147997","16092.06",,,"3328.959999999999","11699.24","14.45","6919.82","4779.42","5305.179999999999","3699.959999999999"
Axis Bank Ltd,AXISBANK,"Private Banks","388638.42215172003","129918.48000000001",,,"7592.270000000002","41142.69","24.47","7247.190000000002","33895.5","7247.190000000002","7247.190000000002"
ITC Ltd,ITC,"FMCG - Tobacco","385343.795444405","3702.3400000000024","6169.78","5793.29","4931.189999999999","20723.73","3.94","7204.369999999999","13519.36","6773.549999999999","6754.079999999999"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","381150.2237304","81938.77",,,"5401.549999999999","28475.39","5.45","7443.209999999999","21032.18","7443.209999999999","7443.209999999999"
NTPC Ltd,NTPC,"Power Generation","380545.66242883","-110.80000000000655","7825.47","9213.48","5488.669999999999","47583.35","5.66","16307.25","31276.1","11214.21","8050.119999999999"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","375991.59436953","86479.49",,,"-220.71000000000072","33187.11","-1.71","4478.549999999999","28708.56","2375.2999999999993","728.8199999999993"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","375269.72871497995","243121.6799999999","15525.64","37894.79","10015.78000000001","170872.79","7.96","28785.20000000001","142087.59","19396.93000000001","16190.08000000001"
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","374901.99406607996","161951.62",,,"4667.570000000001","56529.58","41.77","11264.11","45265.47","9321.43","6914.1"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","364256.2655664","79330",,,"1179","27155","13.28","2173","24982","1927","1577"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","335618.1365715","71645.68",,,"2982.7599999999975","25887.03","101.41","5675.559999999998","20211.47","4467.459999999997","3980.5399999999972"
JSW Steel Ltd,JSWSTEEL,"Iron & Steel","319303.1106288","156124",,,"16370","69409","67.07","26693","42716","24545","22377"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","316520.59020372","104348",,,"4488","34303","16.59","7034","27269","5942","5702"
Bharat Electronics Ltd,BEL,"Electronic Equipments","302113.15900257","19560.78",,,"2225.2200000000007","10334.68","3.04","3091.9000000000005","7242.78","2918.9500000000007","2917.3400000000006"
Bajaj Auto Ltd,BAJAJ-AUTO,"Two Wheelers","292188.05065125","49883.14",,,"3661.9200000000005","19726.59","131.1","4969.35","14757.24","4680.42","4336.06"
Hindustan Aeronautics Ltd,HAL,"Aerospace & Defense Equipments","289345.50375","23318.99",,,"4196.080000000001","15106.19","62.74","6222.360000000001","8883.83","5587.9800000000005","5583.830000000001"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","283255.6730636","122372.33",,,"2538.67","38519.08","15.9","7245.110000000001","31273.97","6928.1","6928.1"
Coal India Ltd,COALINDIA,"Mining - Coal","282684.34835949","127158.3",,,"10839.179999999998","51733.82","17.59","17916.949999999997","33816.87","14970.299999999997","14626.749999999998"
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","278925.10853181","11660.53",,,"4546.33","11987.68","4.89","5624.58","6363.1","2329.95","155.2199999999998"
Nestle India Ltd,NESTLEIND,"FMCG - Foods","273839.9165832","17894.06",,,"1110.9","6766.24","5.77","1750.67","5015.57","1546.14","1509.38"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","270269.71868064","63634.15",,,"656.5899999999971","17702.03","10.09","1228.699999999997","16473.33","945.1399999999971","904.1699999999971"
Hindustan Zinc Ltd,HINDZINC,"Mining - Diversified","266385.236355","18780",,,"5033","13824","11.91","7986","5838","6938","6751"
Tata Steel Ltd,TATASTEEL,"Iron & Steel","258421.586430241","200055.11",,,"2925.7400000000016","63974.75","2.34","9871.150000000001","54103.6","6602.750000000002","4810.370000000002"
Asian Paints Ltd,ASIANPAINT,"Paints","249113.3064987","4128.700000000001","2597.23","3883.49","1059.8700000000003","9093.77","11.06","1850.1000000000004","7243.67","1537.0300000000004","1489.0900000000004"
Hindalco Industries Ltd,HINDALCO,"Metals - Aluminium","242734.4307284","20392","15406","10100","2049","67070","9.23","5930","61140","3710","2829"
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","224543.0534496","2379",,,"397","3727","2.33","2999","728","2114","488"
Eternal Ltd,ETERNAL,"Online Services","223724.172283786","53156",,,"174","17634","0.19","828","16806","360","228"
Shriram Finance Ltd,SHRIRAMFIN,"Consumer Finance","217272.13880196","34194.11",,,"3020.9400000000014","12532.35","16.06","4091.720000000001","8440.63","3917.0600000000013","3917.0600000000013"
Wipro Ltd,WIPRO,"IT Services & Consulting","206682.456642816","74812.8",,,"3501.8","25093.2","3.34","5766.200000000001","19327","5037.700000000001","4667.6"
Grasim Industries Ltd,GRASIM,"Cement","201515.67663226998","139457.74",,,"1957.7399999999934","51444.84","28.87","11135.179999999993","40309.66","9093.469999999994","5078.449999999993"
Indian Oil Corporation Ltd,IOC,"Oil & Gas - Refining & Marketing","194929.574638932","707353.78",,,"14458.080000000009","210713.53","10.5","27228.070000000007","183485.46","21671.160000000007","19791.040000000008"
Eicher Motors Ltd,EICHERMOT,"Trucks & Buses","187891.5140298","537.8399999999995","1391.23","1669.63","1420.6099999999997","6634.34","51.79","2021.5699999999997","4612.77","1810.4699999999998","1793.1999999999998"
SBI Life Insurance Company Ltd,SBILIFE,"Insurance","187011.23867321998","111566.46",,,"804.6399999999998","5983.71","8.02","866.9899999999998","5116.72","866.9899999999998","866.9899999999998"
Divi's Laboratories Ltd,DIVISLAB,"Labs & Life Sciences Services","182987.492194","379","1243","414","583","2692","21.98","904","1788","786","780"
Varun Beverages Ltd,VBL,"Soft Drinks","173850.0218016","820.6600000000013","2200.74","3251.15","872.3500000000003","6617.72","2.58","1568.5100000000002","5049.21","1211.7200000000003","1163.1900000000003"
BSE Ltd,BSE,"Stock Exchanges & Ratings","171823.18862322","1755.42",,,"797.3299999999998","1641.11","19.35","1118.2399999999998","522.87","1063.4499999999998","1063.4499999999998"
Interglobe Aviation Ltd,INDIGO,"Airlines","164889.47876708","25679.7","7472.5","2967.9","549.7999999999987","24540.6","14.22","4889.5999999999985","19651","2107.3999999999987","562.1999999999987"
Solar Industries India Ltd,SOLARINDS,"Commodity Chemicals","164782.390155","7215.93",,,"547.6299999999999","3098.5","60.52","871.7199999999998","2226.78","800.2999999999998","759.0299999999999"
Adani Energy Solutions Ltd,ADANIENSOL,"Power Infrastructure","161704.65643961998","19599.19",,,"683.7799999999995","7670.4","5.69","2372.1399999999994","5298.26","1864.3299999999995","910.0699999999995"
TVS Motor Company Ltd,TVSMOTOR,"Two Wheelers","161624.68881593","47767.33",,,"771.5199999999996","15059.38","16.24","2178.49","12880.89","1863.9499999999998","1298.1299999999997"
Hitachi Energy India Ltd,POWERINDIA,"Heavy Electrical Equipments","158343.3195575","575.6300000000005","544.76","906.34","261.42000000000013","2168.01","58.65","376.8700000000001","1791.14","350.3100000000001","347.78000000000014"
ICICI Prudential Asset Management Company Ltd,ICICIAMC,"Asset Management","155068.6680648","1488.57",,,"763.4199999999998","1427.73","15.45","1066.2","361.53","1038.57","1038.57"
Jio Financial Services Ltd,JIOFIN,"Consumer Finance","154955.92446694098","1953.4900000000002",,,"272.2200000000001","1058.52","0.43","346.5400000000001","711.9799999999999","338.5300000000001","338.5300000000001"
Torrent Pharmaceuticals Ltd,TORNTPHARM,"Pharmaceuticals","149904.2542848","645.8199999999997","2203.37","1781.96","635","3290","18.77","1065","2225","859","814"
Cummins India Ltd,CUMMINSIND,"Industrial Machinery","149674.14","644.7899999999992","797.49","224.86","486.0600000000003","3227.65","17.53","680.6600000000003","2546.99","630.3000000000003","625.5200000000003"
Pidilite Industries Ltd,PIDILITIND,"Diversified Chemicals","148147.37965488","11097.91",,,"579.2699999999996","3648.16","5.69","887.6299999999997","2760.53","790.5399999999996","776.6499999999996"
Vodafone Idea Ltd,IDEA,"Telecom Services","147129.84153135802","25870",,,"51970","68927","4.8","62484","6443","56966","51976"
Trent Ltd,TRENT,"Retail - Apparel","145746.30413539","16426.93",,,"400.33000000000015","5055.9","11.26","939.21","4116.69","562.6200000000001","518.8700000000001"
Hyundai Motor India Ltd,HYUNDAI,"Four Wheelers","145233.596214","62164.85",,,"1255.6299999999985","19175.53","15.45","2225.3499999999985","16950.18","1641.7399999999984","1603.8699999999985"
DLF Ltd,DLF,"Real Estate","144384.93181098","6745.66",,,"1268.56","2121.7","5.12","718.4099999999999","1403.29","670.1599999999999","649.0699999999998"
Bharat Heavy Electricals Ltd,BHEL,"Heavy Electrical Equipments","142207.4674182","31439.99",,,"1290.4700000000003","12570.28","3.71","2013.0100000000002","10557.27","1925.1100000000001","1727.5900000000001"
Power Finance Corporation Ltd,PFC,"Specialized Finance","141689.8690656","72614.28000000001",,,"6998.989999999997","28856.6","21.21","11107.329999999998","17749.27","11091.789999999997","11091.789999999997"
Tech Mahindra Ltd,TECHM,"IT Services & Consulting","141015.4034801","48055.2",,,"1353.8000000000002","14871.4","15.27","2360.5","12510.9","1879.4","1790.6000000000001"
ABB India Ltd,ABB,"Heavy Electrical Equipments","139965.4816875","667.9200000000004","974.81","1733.69","1783.6499999999999","4725.44","84.18","1949.7799999999997","2775.66","1907.4199999999998","1903.61"
Tata Motors Ltd,TMCV,"Trucks & Buses","139818.12223281","77666",,,"1793","26757","4.87","3299","23458","2789","2623"
Samvardhana Motherson International Ltd,MOTHERSON,"Auto Parts","139191.283180127","114614.28",,,"1497.1400000000026","34539.54","1.42","3826.6200000000026","30712.92","2461.1800000000026","1989.4200000000026"
Polycab India Ltd,POLYCAB,"Electrical Components & Equipments","138497.5204452","24878.06",,,"772.7599999999995","8924.9","52.18","1221.7299999999996","7703.17","1123.9299999999996","1049.2899999999995"
Bank of Baroda Ltd,BANKBARODA,"Public Banks","136291.25022754498","131880.75",,,"5576.949999999999","39988.18","11.22","6056.529999999999","33931.65","6056.529999999999","6056.529999999999"
CG Power and Industrial Solutions Ltd,CGPOWER,"Heavy Electrical Equipments","134383.227270925","10828.23",,,"365.49","3520.77","2.32","545.5","2975.27","496.13","492.36"
Tata Motors Passenger Vehicles Ltd,TMPV,"Four Wheelers","133027.987495","320827",,,"5783","107324","15.71","13136","94188","8044","7277"
Muthoot Finance Ltd,MUTHOOTFIN,"Consumer Finance","132857.96276268","16821.26",,,"3349.4600000000005","9291.36","83.43","4608.63","4682.7300000000005","4584.150000000001","4584.150000000001"
Tata Power Company Ltd,TATAPOWER,"Power Transmission & Distribution","132127.29026845","49427.7",,,"995.9099999999979","16767.67","3.12","4372.489999999998","12395.18","3092.259999999998","1796.999999999998"
Siemens Ltd,SIEMENS,"Conglomerates","131636.3834682","15357.2",,,"277.30000000000007","3924","7.8","440.9000000000001","3483.1","369.5000000000001","363.9000000000001"
HDFC Life Insurance Company Ltd,HDFCLIFE,"Insurance","130536.99476802","98298.24",,,"497.4899999999987","20318.22","2.31","536.6899999999987","19781.530000000002","536.6899999999987","536.6899999999987"
Vedanta Ltd,VEDL,"Metals - Diversified","130322.7578055","55254",,,"6698","30129","6.417932789461866","13079","17050","11747","11010"
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,"Consumer Finance","129459.55326788999","24281.8",,,"1645.2000000000003","8564.68","19.33","2214.76","6349.92","2143.1200000000003","2143.1200000000003"
Britannia Industries Ltd,BRITANNIA,"FMCG - Foods","128732.0607972","15637.25",,,"678.34","4774.37","28.16","889.02","3885.35","803.79","785.11"
Bharat Petroleum Corporation Ltd,BPCL,"Oil & Gas - Refining & Marketing","127443.59871","414436.56",,,"5624.5400000000045","119651.49","13.16","10573.520000000004","109077.97","8542.850000000004","7837.770000000004"
Indian Railway Finance Corp Ltd,IRFC,"Specialized Finance","126934.398778","20322.839999999997",,,"1684.309999999999","7328.68","1.29","1686.249999999999","5642.430000000001","1684.309999999999","1684.309999999999"
Tata Capital Ltd,TATACAP,"Consumer Finance","126753.78394476001","24487.579999999998",,,"1502.0200000000002","8163.29","3.54","2121.05","6042.24","1978.4800000000002","1978.4800000000002"
Jindal Steel Ltd,JINDALSTEL,"Iron & Steel","124448.96914407","44451.9",,,"1044.7499999999998","16484.28","10.27","2378.2299999999996","14106.05","1516.4599999999996","1074.1499999999996"
Siemens Energy India Ltd,ENRIN,"Power Generation","123203.4499098","3084.6","985.4","551.5","374.6","2440","10.52","544.2","1895.8","509.50000000000006","502.20000000000005"
LTM Ltd,LTM,"IT Services & Consulting","122876.9126031","7481.699999999997","26286.9","1414.5","1392.2999999999997","11528.6","46.97","2209.8999999999996","9318.7","1946.2999999999997","1880.9999999999998"
Union Bank of India Ltd,UNIONBANK,"Public Banks","121374.3291513","104115.01000000001",,,"5333.950000000001","32674.53","7.21","6925.540000000001","25748.989999999998","6925.540000000001","6925.540000000001"
GE Vernova T&D India Ltd,GVT&D,"Heavy Electrical Equipments","119814.4155879","4586.25",,,"351.76999999999987","1679.97","13.74","487.8299999999999","1192.14","475.7099999999999","468.7299999999999"
Tata Consumer Products Ltd,TATACONSUM,"Tea & Coffee","119608.76216232","3069.499999999999","1661","2397.91","419.07999999999953","5488.98","4.24","847.7699999999995","4641.21","682.5899999999995","644.1699999999995"
Punjab National Bank,PNB,"Public Banks","117480.86608549599","122381.63999999998",,,"5214.289999999999","36878.02","4.83","7141.279999999999","29736.739999999998","7141.279999999999","7141.279999999999"
Billionbrains Garage Ventures Ltd,GROWW,"Investment Banking & Brokerage","116711.2249797","1946.59",,,"686.3599999999999","1535.54","1.11","960.16","575.38","935.6999999999999","935.6999999999999"
Bajaj Holdings and Investment Ltd,BAJAJHLDNG,"Asset Management","116502.046268","162.97",,,"2575","2338.24","231.4","2301.14","37.1","2293.15","2293.15"
Apollo Hospitals Enterprise Ltd,APOLLOHOSP,"Hospitals & Diagnostic Centres","116156.43515745","21478.4",,,"529.3","6659.5","36.82","1065","5594.5","840.6","721.5"
Canara Bank Ltd,CANBK,"Public Banks","115795.93398516001","130234.79000000001",,,"4379.9000000000015","36538.61","5.04","5643.760000000002","30894.85","5643.760000000002","5643.760000000002"
HDFC Asset Management Company Ltd,HDFCAMC,"Asset Management","115056.59313606001","840.15",,,"622.6600000000001","1063.06","14.54","853","210.06","833.58","833.58"
Cipla Ltd,CIPLA,"Pharmaceuticals","113051.6864127","22555.6",,,"554.6399999999996","6689.36","6.87","1103.1099999999997","5586.25","720.1899999999996","707.0599999999996"
Indus Towers Ltd,INDUSTOWER,"Telecom Infrastructure","112832.16576414","14679.9",,,"1792.9","8256.2","6.8","4578.900000000001","3677.3","2741.1000000000004","2365.3"
Dr Reddy's Laboratories Ltd,DRREDDY,"Pharmaceuticals","110073.47550505","27246.7",,,"220.89999999999998","8026.4","2.65","862.5","7163.9","305.4","199.7"
Indian Bank,INDIANB,"Public Banks","109131.02174062","62597.75",,,"3114.700000000001","20261.23","23.56","4077.8100000000013","16183.419999999998","4077.8100000000013","4077.8100000000013"
Marico Ltd,MARICO,"FMCG - Personal Products","108646.582831425","11283",,,"391","3393","3.04","581","2812","521","504"
Bosch Ltd,BOSCHLTD,"Auto Parts","108625.07612","864.8000000000006","1495.3","1806.8","532.6000000000001","5085.5","180.58","812.3000000000002","4273.2","713.6000000000001","709.3000000000002"
Ambuja Cements Ltd,AMBUJACEM,"Cement","106909.25942765","34417.28",,,"1830.1499999999999","11155.73","7.41","1601.6599999999999","9554.07","548.9299999999998","528.1299999999999"
Mankind Pharma Ltd,MANKIND,"Pharmaceuticals","106691.608188","10789.98",,,"554.3499999999999","3560.21","13.44","1024","2536.21","800.92","659.17"
Zydus Lifesciences Ltd,ZYDUSLIFE,"Pharmaceuticals","104733.86484915","19189.9",,,"1272.4999999999993","7721.2","12.65","2291.0999999999995","5430.1","1782.6999999999994","1659.6999999999994"
Max Healthcare Institute Ltd,MAXHEALTH,"Hospitals & Diagnostic Centres","104691.83438273","1877.3400000000006","1179.71","584.8","300.92","2112.9","3.1","535.48","1577.42","424.21000000000004","364.54"
Godrej Consumer Products Ltd,GODREJCP,"FMCG - Personal Products","104667.68819049001","12254.81",,,"451.7700000000004","3969.86","4.42","817.8700000000003","3151.99","741.7400000000004","651.4700000000004"
Lupin Ltd,LUPIN,"Pharmaceuticals","104496.68548865","19699.94",,,"1460.3399999999997","7615.37","34.83","2494.95","5120.42","2048.16","1927.9999999999998"
LG Electronics India Ltd,LGEINDIA,"Home Electronics & Appliances","103438.12481688001","775.5100000000008","962.79","2708.25","89.67000000000024","4190.05","1.32","271.74000000000024","3918.31","161.00000000000023","151.68000000000023"
Gail (India) Ltd,GAIL,"Gas Distribution","102334.539563652","1939.5000000000014","2450.73","1680.1","1756.1700000000003","35856.71","2.67","3610.3600000000006","32246.35","2418.4200000000005","2164.6400000000003"
GMR Airports Ltd (India),GMRAIRPORT,"Construction & Engineering","99782.3227464","3743.84","1485.9","1090.78","121.82999999999981","4103.83","0.12","1627.2199999999998","2476.61","1162.6299999999999","245.68999999999983"
Hero MotoCorp Ltd,HEROMOTOCO,"Two Wheelers","99406.1715984","40485.11",,,"1459.9999999999998","13188.32","72.98","2079.74","11108.58","1859.2399999999998","1840.5199999999998"
Mazagon Dock Shipbuilders Ltd,MAZDOCK,"Shipbuilding","98335.9764","10740.68",,,"679.1800000000005","4133.77","16.84","826.2700000000004","3307.5","803.3900000000004","793.3800000000005"
JSW Energy Ltd,JSWENERGY,"Power Generation","94324.56035628001","8901.91",,,"371.5699999999995","4854.11","2.12","2605.2499999999995","2248.86","1796.2899999999995","187.7999999999995"
Indian Hotels Company Ltd,INDHOTEL,"Hotels, Resorts & Cruise Lines","93889.58969292","6494.57",,,"599.8600000000004","2844.78","4.21","1052.1700000000003","1792.61","884.8000000000003","829.8700000000003"
United Spirits Ltd,UNITDSPR,"Alcoholic Beverages","93435.49057638","10279",,,"539","3349","7.59","819","2530","743","674"
Lloyds Metals and Energy Ltd,LLOYDSME,"Mining - Iron Ore","93097.43480544","10972.51",,,"1419.5","6053.49","26.77","2579.0699999999997","3474.42","2354.72","2187.16"
Aditya Birla Capital Ltd,ABCAPITAL,"Diversified Financials","92540.97404838","40490.97",,,"1129.1600000000008","13666.23","4.31","1641.3700000000008","12024.859999999999","1559.4900000000007","1559.4900000000007"
Bharat Forge Ltd,BHARATFORG,"Iron & Steel","90272.69549424","14048.89",,,"232.5700000000001","4581.01","4.86","731.6300000000001","3849.38","476.5400000000001","392.1400000000001"
Ashok Leyland Ltd,ASHOKLEY,"Trucks & Buses","90228.27977327199","2620.879999999999","4240.68","3766.67","813.4900000000002","15014.9","1.38","2681.9300000000003","12332.97","2399.71","1199.5900000000001"
Ntpc Green Energy Ltd,NTPCGREEN,"Renewable Energy","89260.110183717","5.890000000000015","107.38","167.42","17.479999999999958","684.22","0.02","566.39","117.83","266.72999999999996","36.66999999999996"
Meesho Ltd,MEESHO,"Retail - Online","89075.353873545","14252.55",,,"-166.3499999999999","3646.98","-0.36","-139.07999999999993","3786.06","-157.70999999999992","-160.08999999999992"
ICICI Lombard General Insurance Company Ltd,ICICIGI,"Insurance","89050.6648464","23429.249999999996",,,"546.5599999999998","6856.67","10.97","718.1999999999998","6138.47","718.1999999999998","718.1999999999998"
Shree Cement Ltd,SHREECEM,"Cement","88109.186616","16305.61",,,"525.6899999999996","6202.16","145.7","1485.1499999999996","4717.01","722.6899999999996","666.9399999999996"
Lodha Developers Ltd,LODHA,"Real Estate","87912.182864","11755.3",,,"1007.9000000000001","4842.8","10.09","1541.9","3300.9","1431.3000000000002","1263.9"
REC Ltd,RECLTD,"Specialized Finance","87686.3592","38834.97",,,"3375.079999999998","14583.39","12.69","4421.4299999999985","10161.960000000001","4414.539999999998","4414.539999999998"
Multi Commodity Exchange of India Ltd,MCX,"Stock Exchanges & Ratings","87596.1143553","660.32",,,"529.77","925.33","20.78","701.08","224.25","682","681.79"
Aurobindo Pharma Ltd,AUROPHARMA,"Pharmaceuticals","87313.59556625","1459.710000000001","4475.62","4601.18","910.2899999999995","8833.91","15.67","1896.0199999999995","6937.89","1431.2899999999995","1338.5199999999995"
Waaree Energies Ltd,WAAREEENER,"Renewable Energy Equipment & Services","86444.9791942","20922.91",,,"1061.0999999999995","8659.98","36.91","1756.4799999999996","6903.5","1455.8399999999997","1407.9499999999996"
PB Fintech Ltd,POLICYBZR,"Online Services","84553.356966","6286.02",,,"261.10999999999996","2165.64","5.65","316.54999999999995","1849.09","281.67999999999995","271.9"
Oracle Financial Services Software Ltd,OFSS,"Software Services","84482.87164515","4194.7",,,"841.6999999999998","2136.5","96.72","1127.6","1008.9","1112.1999999999998","1120.1"
Lenskart Solutions Ltd,LENSKART,"Retail - Speciality","84182.96551755999","7081.17",,,"200.2899999999998","2564.74","1.17","585.2499999999998","1979.49","297.7399999999998","254.1999999999998"
Steel Authority of India Ltd,SAIL,"Iron & Steel","82213.975352256","99479.07",,,"1835.469999999999","31345.57","4.44","4611.029999999999","26734.54","3033.839999999999","2501.799999999999"
Oil India Ltd,OIL,"Oil & Gas - Exploration & Production","82046.09697804","23500.62",,,"2099.6099999999997","10211.96","12.91","4199.599999999999","6012.36","3500.4599999999996","3119.1299999999997"
Hindustan Petroleum Corp Ltd,HINDPETRO,"Oil & Gas - Refining & Marketing","81442.406838175","411138.69",,,"6065.260000000006","116847.27","28.5","11120.850000000006","105726.42","8664.050000000007","7643.610000000006"
Dabur India Ltd,DABUR,"FMCG - Personal Products","79975.68985548","10757.58",,,"368.6000000000003","3213.05","2.08","635.8500000000004","2577.2","513.6500000000003","473.6800000000003"
NHPC Ltd,NHPC,"Renewable Energy","79858.02669975","6379.38",,,"1460.1599999999999","3121.33","1.45","942.5099999999998","2178.82","300.4999999999998","-273.7800000000002"
Bharti Hexacom Ltd,BHARTIHEXA,"Telecom Services","79785","4497.1",,,"446.7000000000003","2491.3","8.93","1320.2000000000003","1171.1","755.4000000000003","606.2000000000003"
Persistent Systems Ltd,PERSISTENT,"Software Services","79429.42508004","12042.03",,,"529.2599999999999","4089.43","33.83","801.1999999999998","3288.23","692.6599999999999","673.9799999999999"
IDBI Bank Ltd,IDBI,"Private Banks","78815.10794275","23973.18",,,"1982","9517.5","1.87","2815.79","6701.71","2815.79","2815.79"
FSN E-Commerce Ventures Ltd,NYKAA,"Wellness Services","78259.66970448001","18.539999999999935","666.07","2073.42","63.30999999999986","2879.52","0.22","219.65999999999985","2659.86","138.77999999999986","109.61999999999986"
NMDC Ltd,NMDC,"Mining - Iron Ore","77790.0016824","12337.630000000001","1795.04","1252.47","1756.5900000000001","7983.38","2","2516.63","5466.75","2409.6600000000003","2374.7000000000003"
SRF Ltd,SRF,"Diversified Chemicals","77459.78651325","12461.82",,,"582.0199999999999","4640.07","19.63","1038.87","3601.2","819.06","757.0999999999999"
Torrent Power Ltd,TORNTPOWER,"Power Transmission & Distribution","76220.44991418","23424.93",,,"318.2000000000003","6476.95","6.31","1220.2200000000003","5256.73","799.2200000000003","547.3600000000002"
Havells India Ltd,HAVELLS,"Electrical Components & Equipments","75760.08137676","979.9699999999988","1983.74","2307.55","723.0600000000002","7015.02","11.52","1039.2600000000002","5975.76","927.4800000000002","917.6100000000002"
National Aluminium Co Ltd,NATIONALUM,"Metals - Aluminium","73906.06310888","9915.02",,,"1722.4400000000005","5214.34","9.38","2551.01","2663.33","2339.8300000000004","2316.0400000000004"
ICICI Prudential Life Insurance Company Ltd,ICICIPRULI,"Insurance","73864.763345625","63176.19",,,"623.9100000000001","4221.02","4.31","281.34000000000015","3939.6800000000003","281.34000000000015","281.34000000000015"
One 97 Communications Ltd,PAYTM,"Online Services","73844.783763","8123",,,"184","2463","2.87","331","2132","199","194"
Fortis Healthcare Ltd,FORTIS,"Hospitals & Diagnostic Centres","73578.22110408","2372.14","1167.24","1138.4","193.72999999999996","2276.83","2.57","471.55999999999995","1805.27","351.41999999999996","265.67999999999995"
Laurus Labs Ltd,LAURUSLABS,"Pharmaceuticals","73479.87937601999","5035.19",,,"279.1399999999999","1823.37","5.17","523.9099999999999","1299.46","401.80999999999983","361.36999999999983"
AU Small Finance Bank Ltd,AUBANK,"Consumer Finance","72909.3165114","18140.239999999998",,,"831.8699999999999","5750.1","11.13","1082.08","4668.02","1082.08","1082.08"
Suzlon Energy Ltd,SUZLON,"Renewable Energy Equipment & Services","72102.566228063","340.5199999999999","941.53","546","445.27999999999975","4258.61","0.32","761.0099999999998","3497.6","681.0099999999998","566.7499999999998"
Federal Bank Ltd,FEDERALBNK,"Private Banks","71464.5918168","28408.99",,,"1341.8999999999996","9132.47","5.44","1713.5699999999997","7418.9","1713.5699999999997","1713.5699999999997"
Nippon Life India Asset Management Ltd,NAM-INDIA,"Asset Management","70403.3293131","920.8299999999999",,,"384.72","705.2","6.04","471.96000000000004","233.24","459.79","459.79"
Biocon Ltd,BIOCON,"Biotechnology","70076.08411625","13874.6",,,"125.90000000000056","4569.1","0.79","992.4000000000005","3576.7","479.00000000000057","247.50000000000057"
Indusind Bank Ltd,INDUSINDBK,"Private Banks","69897.94264728001","52269.41",,,"594.1399999999992","12719.08","7.63","813.1299999999992","11905.95","813.1299999999992","813.1299999999992"
