Name,Ticker,"Sub-Sector","Market Cap","Operating & Other expenses","Employee Cost","Selling & Administrative Expenses","Net Income (Q)","Total revenue (Q)","EPS (Q)","EBITDA (Q)","Operating and Other Expenses (Q)","PBIT (Q)","PBT (Q)"
Gujarat Poly Electronics Ltd,GUJARATPOLY,"Electronic Equipments","49.8807","16.62",,,"0.11999999999999994","4.74","0.15","0.45999999999999996","4.28","0.38999999999999996","0.37999999999999995"
IFL Enterprises Ltd,IFL,"Textiles","49.801735719999996","0.5699999999999938","0.08","0.59","-0.35","0","0","-0.33","0.33","-0.45","-0.45"
Prudential Sugar Corp Ltd,PRUDMOULI,"Sugar","49.603576","0.4899999999999938","0.99","0.98","1.7800000000000011","69.61","0.55","3.280000000000001","66.33","3.280000000000001","2.410000000000001"
Celebrity Fashions Ltd,CELEBRITY,"Apparel & Accessories","49.508581382","177.98",,,"-1.6200000000000014","43.74","-0.31","0.8999999999999986","42.84","-0.0800000000000014","-1.6200000000000014"
Ravi Kumar Distilleries Ltd,RKDL,"Alcoholic Beverages","49.344","2.299999999999999","1.73","4.89","0.009999999999999898","5.34","0.01","0.1299999999999999","5.21","0.0399999999999999","0.009999999999999898"
Caspian Corporate Services Ltd,CASPIAN,"Business Support Services","49.27272","77.26","2.32","7.96","-0.08000000000000008","26.13","-0.6","1.0899999999999999","25.04","0.6699999999999999","0.029999999999999916"
Dangee Dums Ltd,DANGEE,"FMCG - Foods","49.272","1.5599999999999983","5.1","3.83","0.23000000000000045","8.88","0.02","1.9800000000000004","6.9","0.7900000000000005","0.27000000000000046"
Mantra Capital Ltd,MANTRA,"Specialized Finance","49.248","29.619999999999997",,,"-4.830000000000001","5.6","-1.45","-4.790000000000001","10.39","-4.870000000000001","-4.870000000000001"
Roopshri Resorts Ltd,ROOPSHRI,"Hotels, Resorts & Cruise Lines","49.2337164","0.1499999999999997","0.66","0.35",,,,,,,
Netlink Solutions (India) Ltd,NETLINK,"IT Services & Consulting","49.231364625","1.36",,,"-0.029999999999999992","0.42","-0.08","0.010000000000000009","0.41","-0.029999999999999992","-0.029999999999999992"
Toss The Coin Ltd,TTC,"Oil & Gas - Refining & Marketing","49.1967","0.22000000000000064","4.47","2.25",,,,,,,
Vedavaag Systems Ltd,VEDAVAAG,"Software Services","49.1340348","74.30999999999999","13.29","2.54","1.6200000000000012","26.42","0.69","3.030000000000001","23.39","2.070000000000001","1.8700000000000012"
Mohite Industries Ltd,MOHITE,"Textiles","49.043268","12.97000000000002","15.02","2.74","1.2299999999999986","47.33","0.06","6.539999999999999","40.79","5.059999999999999","1.2299999999999986"
Superior Industrial Enterprises Ltd,SIEL,"Packaging","49.04285","3.6699999999999973","2.59","1.26","0.24999999999999925","5.81","0.18","0.40999999999999925","5.4","0.26999999999999924","0.11999999999999925"
Nanavati Ventures Ltd,NVENTURES,"Precious Metals, Jewellery & Watches","48.91825","-0.4700000000000005","0.15","0.03","-0.07999999999999964","8.32","0","-0.09999999999999964","8.42","-0.09999999999999964","-0.09999999999999964"
Phoenix International Ltd,PHOENXINTL,"Footwear","48.89119872","1.0199999999999994","1.75","2.63","0.20000000000000018","6.88","0.12","3.79","3.09","2.89","1.6"
G.S. Auto International Ltd,GSAUTO,"Auto Parts","48.85607628","18.020000000000007","25.09","8.22","0.74","39.71","1.1","2.75","36.96","1.78","1"
Aditya BSL Nifty Healthcare ETF,HEALTHY,"Equity","48.767278751999996",,,,,,,,,,
3B Films Ltd,3BFILMS,"Plastic Products","48.751296","-1.2700000000000005","2.14","0.69","1.38","30.34","0.65","3.5","26.84","2.23","1.22"
Sacheta Metals Ltd,SACHEMT,"Housewares","48.75","79.97",,,"0.35999999999999877","21.11","0.03","1.0599999999999987","20.05","0.5899999999999987","0.38999999999999874"
Mangalam Drugs and Organics Ltd,MANGALAM,"Pharmaceuticals","48.687690848","247.04",,,"-13.420000000000002","67.38","-8.48","-5.530000000000001","72.91","-10.190000000000001","-13.270000000000001"
Archies Ltd,ARCHIES,"Retail - Speciality","48.60942","13.179999999999994","17.16","9.63","-0.08000000000000035","14.58","-0.02","2.2699999999999996","12.31","1.0799999999999996","0.09999999999999964"
Wires and Fabriks (SA) Ltd,WIREFABR,"Industrial Machinery","48.472125","24.339999999999993","16.22","13.51","0.07999999999999885","29.43","0.25","5.989999999999998","23.44","2.4599999999999986","0.19999999999999885"
Smiths & Founders (India) Ltd,SMFIL,"Iron & Steel","48.448349375","1.8099999999999987","2.61","0.79","0.23000000000000012","3.4","0.02","0.3900000000000001","3.01","0.3200000000000001","0.3200000000000001"
Mac Hotels Ltd,MACH,"Hotels, Resorts & Cruise Lines","48.4290768","0.14999999999999925","0.68","0.97",,,,,,,
Danube Industries Ltd,DANUBE,"Paper Products","48.40668","112.5",,,"0.25999999999999945","35.25","0.03","1.1099999999999994","34.14","1.0799999999999994","0.38999999999999946"
Sam Industries Ltd,SAMINDUS,"Real Estate","48.40117155","3.4899999999999998","0.58","4.41","0.41999999999999965","4.22","0.38","1.6399999999999997","2.58","1.1299999999999997","0.46999999999999964"
Roni Households Ltd,RONI,"Plastic Products","48.2709864","-1.5599999999999987","0.02","0.46",,,,,,,
Shalimar Productions Ltd,SHALPRO,"Movies & TV Serials","48.232087337","1.4900000000000002","0.38","0.73","-0.21000000000000002","0.16","0","-0.16","0.32","-0.21000000000000002","-0.21000000000000002"
Austere Systems Ltd,AUSTERE,"Software Services","48.1994164","0.20999999999999996","5.4","7.12",,,,,,,
Morgan Ventures Ltd,MORGAN,"Investment Banking & Brokerage","48.1967703","13.5","0.13",,"-5.52","1.29","-5.58","-6.22","7.51","-6.22","-6.22"
Sambandam Spinning Mills Ltd,SAMBANDAM,"Textiles","48.168657","12.389999999999993","35.14","10.16","-2.1500000000000057","65.46","-5.06","2.0999999999999943","63.36","-0.13000000000000567","-2.8900000000000055"
Solitaire Machine Tools Ltd,SOLIMAC,"Industrial Machinery","48.12435472","16.47",,,"0.6799999999999999","8.43","1.49","1.37","7.06","1.11","1.03"
Chamunda Electrical Ltd,CHAMUNDA,"Power Generation","48.09007578","2.829999999999998","15.75","1.02","0.5399999999999994","7.02","0.49","0.8199999999999994","6.2","0.5899999999999994","0.5199999999999994"
Sona Machinery Ltd,SONAMAC,"Agro Products","47.96538","1.4300000000000006","14.57","9.52",,,,,,,
ARC Finance Ltd,ARCFIN,"Investment Banking & Brokerage","47.933029264999995","18.41","0.2",,"-0.00999999999999995","1.58","0","0.06000000000000005","1.52","0.01000000000000005","0.01000000000000005"
ICICI Pru Nifty Alpha Low- Volatility 30 ETF,ALPL30IETF,"Equity","47.912937039999996",,,,,,,,,,
Shekhawati Industries Ltd,SHEKHAWATI,"Textiles","47.80989","8.13",,,"4.63","9","1.34","5.04","3.96","4.67","4.63"
Shree Pacetronix Ltd,SHREEPAC,"Health Care Equipment & Supplies","47.6399385","0.6099999999999985","4.74","2.91","0.06000000000000036","4.36","0.16","0.4600000000000004","3.9","0.29000000000000037","0.16000000000000036"
USG Tech Solutions Ltd,USGTECH,"IT Services & Consulting","47.61236568","0.010000000000000009","0.1","0.37","-0.06","0","-0.02","-0.02","0.02","-0.02","-0.06"
Ind Bank Housing Ltd,INDBNK,"Consumer Finance","47.5","0.59",,,"-0.01999999999999999","0.21","-0.02","-0.01999999999999999","0.22999999999999998","-0.01999999999999999","-0.01999999999999999"
Oriental Trimex Ltd,ORIENTALTL,"Cement","47.48569319","10.170000000000005","1.07","2.68","0.11000000000000015","3.31","0.02","0.7000000000000002","2.61","0.25000000000000017","0.15000000000000016"
Rithwik Facility Management Services Ltd,RITHWIKFMS,"Business Support Services","47.43","11.389999999999999","4.86","3.4","0.5300000000000002","5.16","2.34","0.7800000000000002","4.38","0.7200000000000002","0.7100000000000002"
Kanishk Aluminium India Ltd,KANISHK,"Building Products - Others","47.42976","-4.59","0.93","1.11",,,,,,,
Seacoast Shipping Services Ltd,SEACOAST,"Logistics","47.40384","339.05",,,"6.999999999999986","151.47","0.13","9.639999999999986","141.83","9.639999999999986","9.329999999999986"
Jhandewalas Foods Ltd,JFL,"Packaged Foods & Meats","47.260206860000004","167.18",,,"-18.11","28.28","-17.65","-17.25","45.53","-17.53","-18.09"
Mahip Industries Ltd,MAHIP,"Packaging","47.1379608","7.31",,,"0","0","0","0","0","0","0"
Takyon Networks Ltd,TAKYON,"Communication & Networking","47.133702","31.13","14.71","9.09",,,,,,,
