Name,Ticker,"Sub-Sector","Market Cap","Additional Paid–in Capital","Investing Cash Flow","Net Change in Cash","Total Liabilities","Loans & Advances","Financing Cash Flow","Long Term Investments","Total Cash Dividend Paid","Reserves & Surplus","Capital Expenditure","Net Property,Plant & Equipment","Operating Cash Flow"
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","278925.10853181","5509.28","-23533.27","332.84000000000015","173356.58000000002",,"-12357.18","3116.65","9765.64","77852.93000000001","24134.04","204477.08000000005","36223.29"
Nestle India Ltd,NESTLEIND,"FMCG - Foods","273839.9165832","0","-1810.9","-722.6700000000001","8183.109999999999",,"-1848.12","575.03","2458.6","3913.79","2008.64","6646.17","2936.35"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","270269.71868064","6113.47","-2185.31","18.359999999999843","2886.08",,"-259.3","2.01","0","14663.55","3423.04","17227.530000000002","2462.97"
Hindustan Zinc Ltd,HINDZINC,"Mining - Diversified","266385.236355","0","-2706","43","21164",,"-11411","823","12253","12481","3999","21214","14160"
Tata Steel Ltd,TATASTEEL,"Iron & Steel","258421.586430241","31288.08","-13985.25","2524.1200000000017","184105.80000000008",,"-7002.44","5751.46","4489.87","58634.11","15670.52","184784.99000000005","23511.81"
Asian Paints Ltd,ASIANPAINT,"Paints","249113.3064987","0","-940.91","-269.52999999999975","10296.2",,"-3752.58","1479.79","3140.21","19303.89","1830.07","9653.34","4423.96"
Hindalco Industries Ltd,HINDALCO,"Metals - Aluminium","242734.4307284","8235","-24609","-2015","140579",,"-1816","13626","778","115248","20649","117134","24410"
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","224543.0534496","3830","-19828","604","88191",,"12068","939","0","2961","24776","94391","8364"
Eternal Ltd,ETERNAL,"Online Services","223724.172283786","33116","-7993","357","5313",,"8042","10920","0","-3721","936","3410","308"
Shriram Finance Ltd,SHRIRAMFIN,"Consumer Finance","217272.13880196","17543.01","3629.85","4499.039999999994","237252.34000000005","245392.79","44521.09","15787.96","1859.3","38550.729999999996","254.59","1119.4699999999998","-43651.9"
Wipro Ltd,WIPRO,"IT Services & Consulting","206682.456642816","269.9","-8044","2502.2999999999984","45351.2",,"-6396.3","2778.5","6275","79999.8","1473.7","13348.5","16942.6"
Grasim Industries Ltd,GRASIM,"Cement","201515.67663226998","35189.31","-23313.19","2495.050000000003","342216.6000000001",,"42977.89","119660.37","1584.05","62727.119999999995","17181.34","133463.56","-17169.65"
Indian Oil Corporation Ltd,IOC,"Oil & Gas - Refining & Marketing","194929.574638932","79.94","-31848.19","-573.4200000000001","316196.87",,"-3424.51","56849.59","9545.1","172635.82","5105.48","274855.62","34699.28"
Eicher Motors Ltd,EICHERMOT,"Trucks & Buses","187891.5140298","434.67","-2460.68","120.57000000000016","5877.919999999996",,"-1398.67","13943.35","1397.45","20834.4","1039.33","3964.9400000000005","3979.92"
SBI Life Insurance Company Ltd,SBILIFE,"Insurance","187011.23867321998","155.66","-21788.86","3542.980000000001","438796.73000000004","0","-214.81","446153.52","270.6","15827.44","106.19","590.3399999999999","25546.65"
Divi's Laboratories Ltd,DIVISLAB,"Labs & Life Sciences Services","182987.492194","80","-804","50","1952",,"-799","65","796","14836","1438","6464","1653"
Varun Beverages Ltd,VBL,"Soft Drinks","173850.0218016","9706.36","-2724.96","-482.1200000000001","5799.780000000001",,"-1266.47","174.28","507.25","9195.669999999998","2739.1","15553.515000000001","3509.31"
BSE Ltd,BSE,"Stock Exchanges & Ratings","171823.18862322","0","-758.37","-550.19","5765.95",,"-205.99","1324.65","205.99","4396.66","153.23","315.89","414.17"
Interglobe Aviation Ltd,INDIGO,"Airlines","164889.47876708","4070.5","-12758.1","377.7999999999993","106475.3",,"-11015.4","1318.3","0","4911.299999999999","1604.8","51784.7","24151.3"
Solar Industries India Ltd,SOLARINDS,"Commodity Chemicals","164782.390155","149.13","-1659.75","331.44999999999993","3555.620000000001",,"-476.36","147.3","76.92","4219.11","1005.95","3263.2200000000003","2467.56"
Adani Energy Solutions Ltd,ADANIENSOL,"Power Infrastructure","161704.65643961998","11948.81","-15222.12","1448.3199999999988","50890.990000000005",,"7975.22","348.72","0","8918.109999999999","9378.14","43618.049999999996","8695.22"
TVS Motor Company Ltd,TVSMOTOR,"Two Wheelers","161624.68881593","0","-2898.96","1759.2","38208.619999999995",,"1155.24","732.07","475.09","8455.87","2478.06","7327.289999999999","3502.92"
Hitachi Energy India Ltd,POWERINDIA,"Heavy Electrical Equipments","158343.3195575","2500.99","-109.99","3678.51","4399.21",,"2294.73","0","16.89","1704.1999999999998","129.09","774.97","1493.77"
ICICI Prudential Asset Management Company Ltd,ICICIAMC,"Asset Management","155068.6680648","3.35","-512.88","-7.670000000000073","810.46","0","-2068.29","3285.19","2012.34","3495.94","411.62","597.9300000000001","2573.5"
Jio Financial Services Ltd,JIOFIN,"Consumer Finance","154955.92446694098","29610.74","6406.18","285.1400000000008","10003.46","10053.12","3962.35","118910.32","0","87532.64","41.8","93.90999999999998","-10083.39"
Torrent Pharmaceuticals Ltd,TORNTPHARM,"Pharmaceuticals","149904.2542848","0","-548.78","-261.6599999999996","6804.9",,"-2297.99","43.57","1083.03","7421.46","611.87","3978.9900000000007","2585.11"
Cummins India Ltd,CUMMINSIND,"Industrial Machinery","149674.14","0","-580.04","-63.1400000000001","2607.0899999999997",,"-1167.96","550.15","1053.36","7505.96","238.04","2345.5899999999997","1684.86"
Pidilite Industries Ltd,PIDILITIND,"Diversified Chemicals","148147.37965488","102.45","-1541.59","-172.89999999999986","4025.93",,"-917.94","389.36","813.38","9601.15","452.34","3130.6399999999994","2286.63"
Vodafone Idea Ltd,IDEA,"Telecom Services","147129.84153135802","112617","-16248.3","89.00000000000091","268175.2",,"7046.7","0","0","-291280.2","10336.5","74778.29999999999","9290.6"
Trent Ltd,TRENT,"Retail - Apparel","145746.30413539","1924.3","-923.31","43.920000000000186","3836.2799999999997",,"-693.67","845.56","113.59","3501.8899999999994","1268.19","4012.769999999999","1660.9"
Hyundai Motor India Ltd,HYUNDAI,"Four Wheelers","145233.596214","0","-409.57","3872.5","13800.890000000001",,"-62.85","0","0","15483.92","5306.84","11669.875","4344.92"
DLF Ltd,DLF,"Real Estate","144384.93181098","25071.15","-3474.99","-642.3299999999995","25922.170000000006",,"-2402.56","20980.61","1233.59","16984.010000000002","96.02","2643.7266","5235.22"
Bharat Heavy Electricals Ltd,BHEL,"Heavy Electrical Equipments","142207.4674182","0","-2730.91","-1395.83","44126.79",,"-856.81","275.57","87.44","24025.75","281.54","3074.33","2191.89"
Power Finance Corporation Ltd,PFC,"Specialized Finance","141689.8690656","2946.07","-2312.03","-323.4600000000064","1022931.2699999998","1091898.4","94257.93","12792.48","8144.01","111492.18","840.47","848.9000000000001","-92269.36"
Tech Mahindra Ltd,TECHM,"IT Services & Consulting","141015.4034801","1765","20","-28.600000000000364","16474.9",,"-5834.3","289.3","3876.9","25154.1","593.5","5930.699999999998","5785.7"
ABB India Ltd,ABB,"Heavy Electrical Equipments","139965.4816875","43.28","363.66","616.94","5802.490000000002",,"-966.23","1.56","915.15","7750.33","239.95","1296.48","1219.51"
Tata Motors Ltd,TMCV,"Trucks & Buses","139818.12223281","0","0","0.1","0.08",,"0.1","0","0","-0.08","0","0","0"
Samvardhana Motherson International Ltd,MOTHERSON,"Auto Parts","139191.283180127","31317.9","-4836.1","-1100.6000000000004","54741.1",,"-2550.7","6530.5","746.3","2858.7999999999956","4561","29226.399999999994","6286.2"
Polycab India Ltd,POLYCAB,"Electrical Components & Equipments","138497.5204452","862.37","-1239.31","-59.059999999999945","3841.9000000000015",,"-628.28","0","451.08","8812.119999999999","969.73","3712.64","1808.53"
Bank of Baroda Ltd,BANKBARODA,"Public Banks","136291.25022754498","31431.76","-6493.92","32187.880000000005","1718570.91","1237240.4","3790.22","427379.68","3930.24","114035.42","6332.49","13544.51","34891.58"
CG Power and Industrial Solutions Ltd,CGPOWER,"Heavy Electrical Equipments","134383.227270925","761.28","-568.08","209.7199999999999","3374.96",,"-166.62","0.76","198.75","2776.8900000000003","427.32","1344.3400000000001","944.42"
