Name,Ticker,"Sub-Sector","Market Cap","Additional Paid–in Capital","Investing Cash Flow","Net Change in Cash","Total Liabilities","Loans & Advances","Financing Cash Flow","Long Term Investments","Total Cash Dividend Paid","Reserves & Surplus","Capital Expenditure","Net Property,Plant & Equipment","Operating Cash Flow"
SEDEMAC Mechatronics Ltd,SEDEMAC,"Auto Parts","9182.94231","248.85","-104.75","-0.980000000000004","187.79000000000005",,"12.86","0","0","54.50000000000003","85.62","249.85000000000002","90.91"
Eureka Forbes Ltd,EUREKAFORB,"Home Electronics & Appliances","9160.87002852","3870.63","-168.43","34.17999999999999","1926.7199999999998",,"-43.39","0.01","0","344.5799999999999","59.66","503.26610000000073","246"
Transformers and Rectifiers (India) Ltd,TARIL,"Heavy Electrical Equipments","9147.55379115","721.54","-625.11","3.660000000000025","914.2199999999993",,"472.19","30.53","3.8","500.3600000000001","234.8","309.9395","156.58"
G R Infraprojects Ltd,GRINFRA,"Construction & Engineering","9097.42493658","62.75","432.74","125.62000000000012","6422.07",,"1724.47","2164.19","120.93","8380.42","155.84","1238.0099999999998","-2031.59"
Alkyl Amines Chemicals Ltd,ALKYLAMINE,"Specialty Chemicals","9086.25227832","21.35","-195.54","18.410000000000025","386.95000000000016",,"-49.16","0","51.13","1370.9","47.69","1096.41","263.11"
TSF Investments Ltd,TSFINV,"Investment Banking & Brokerage","8997.4273686","317.12","-144.05","-167.24","229.92000000000044","0","-211.47","5738.41","208.78","5178.5","0.94","47.0292","188.28"
KPI Green Energy Ltd,KPIGREEN,"Renewable Energy","8996.719336010001","1375.72","-1586.9","427.46000000000004","2162.2200000000003",,"1806.63","3.98","11.83","949.2099999999998","1505.07","2524.37","207.73"
Birlasoft Ltd,BSOFT,"IT Services & Consulting","8933.02096448","145.33","-437.54","-65.49000000000004","984.1599999999997",,"-215.47","297.18","179.58","3277.32","48.59","256.3919999999998","587.52"
Procter & Gamble Health Ltd,PGHL,"Pharmaceuticals","8893.9488756","11.13","9.59","-56.46000000000001","257.24",,"-234.74","0","232.4","509.23","8.56","127.07","168.69"
Amagi Media Labs Ltd,AMAGI,"Online Services","8872.060093439999","1396.27","-23.1","1.7699999999999996","915.5599999999997",,"-8.7","0","0","-1778.71","4.16","48.03499999999998","33.57"
Bata India Ltd,BATAINDIA,"Footwear","8828.5567226","50.14","53.05","152.82000000000005","2247.8900000000003",,"-638.05","1","281.95","1460.56","72.6","1557.2060000000001","737.82"
Lemon Tree Hotels Ltd,LEMONTREE,"Hotels, Resorts & Cruise Lines","8800.594482022","105.71","-127.45","21.78000000000003","2285.02",,"-392.35","6.02","0","265.96000000000004","95.78","3519.2057","541.58"
Nesco Ltd,NESCO,"Real Estate","8792.6984084","0","-314.63","-8.15000000000002","386.1799999999993",,"-42.42","888.02","42.28","2615.34","783.63","1669.06","348.9"
Axiscades Technologies Ltd,AXISCADES,"Construction & Engineering","8784.77577795","317.54","7.93","-3.259999999999991","467.6600000000002",,"-99.53","7.26","0","310.24999999999994","37.9","252.4542","88.34"
ASK Automotive Ltd,ASKAUTOLTD,"Auto Parts","8762.98857","0.94","-339.02","7.560000000000008","880.7400000000005",,"-13.62","37.19","19.71","1002.75","345.67","1148.5300000000002","360.2"
GMR Power and Urban Infra Ltd,GMRP&UI,"Power Generation","8757.549552677001","11790.84","-156.74","258.6999999999998","16255.469999999998",,"-2417.3","117.64","0","-11629.14","270.32","8634.659999999998","2832.74"
Orkla India Ltd,ORKLAINDIA,"Packaged Foods & Meats","8747.44728165","1109.5","262.94","41.700000000000045","711.8",,"-612.91","27.81","600.01","1336.3000000000002","20.81","403.76","391.67"
Cartrade Tech Ltd,CARTRADE,"Online Services","8743.0321447","2042.32","-137.58","6.619999999999997","378.75",,"-26.82","7.26","0","130.8599999999999","5.39","172.97109999999998","171.02"
Va Tech Wabag Ltd,WABAG,"Water Management","8684.93395231","393.9","-111.4","277.79999999999995","3122.2999999999997",,"34","69.4","0","1733.6","4.5","66.7","355.2"
Jupiter Life Line Hospitals Ltd,JLHL,"Hospitals & Diagnostic Centres","8642.91302004","664.33","-208.62","345.31","548.6500000000005",,"300.63","0.13","6.56","626.35","320.73","1162.5100000000002","253.3"
Star Cement Ltd,STARCEMENT,"Cement","8623.997557529","0","-528.55","-7.939999999999941","1227.8999999999996",,"224.14","2.02","0","2838.78","581.19","2640.43","296.47"
Maharashtra Seamless Ltd,MAHSEAMLES,"Building Products - Pipes","8585.332075639999","490.98","-485.96","-12.70999999999998","693.3200000000018",,"-136.37","689.81","134","5781.959999999999","23.21","1876.2799999999997","609.62"
Varroc Engineering Ltd,VARROC,"Auto Parts","8523.953256","1302.4","-245.23","1.0400000000000205","3069.3100000000004",,"-490.45","31.35","0","247.38999999999987","288.89","2046.633","736.72"
Cello World Ltd,CELLO,"FMCG - Household Products","8511.80478519","1181.24","-553.43","19.520000000000095","231.60999999999973",,"311.22","30.82","38.58","875.72","167.18","634.2442","261.73"
Time Technoplast Ltd,TIMETECHNO,"Plastic Products","8489.541248042","304","-146.6","35.18999999999997","1436.6000000000001",,"-248.73","3.19","47.03","2565.45","195.83","1452.1499999999999","430.52"
India Shelter Finance Corporation Ltd,INDIASHLTR,"Home Financing","8482.518094525","1514.71","-61.38","70.03999999999996","5038.76","6852.36","1566.19","315.27","0","1139.6","9.06","29.369999999999997","-1434.77"
BHARAT Bond ETF-April 2030-Growth,EBBETF0430,"Debt","8469.70691049",,,,,,,,,,,,
Banco Products (India) Ltd,BANCOINDIA,"Auto Parts","8448.4981245","0","-72.55","2.950000000000003","1440.8800000000006",,"-88.81","0","157.34","1274.23","78","520.7493","164.31"
Tips Music Ltd,TIPSMUSIC,"Movies & TV Serials","8427.9367287","0","10.57","-7.7099999999999795","129.85000000000002",,"-138.51","0","89.48","196.76","1.54","7.300000000000001","120.23"
Powergrid Infrastructure Investment Trust,PGINVIT,"Power Transmission & Distribution","8371.99264","0","-531.41","9.330000000000041","2466.0600000000018",,"-674.48","0","1121.47","-1378.8","4.47","9244.980000000001","1215.22"
Bharat Bond ETF - April 2023,EBBETF0423,"Debt","8369.700871194",,,,,,,,,,,,
V2 Retail Ltd,V2RETAIL,"Retail - Apparel","8287.4822364","302.34","-130.73","-0.4399999999999835","1252.78",,"-92.7","0","0","9.370000000000005","134.46","867.22","222.99"
Tejas Networks Ltd,TEJASNET,"Telecom Equipments","8280.87738456","2905.88","-655.21","139.32999999999993","6615.65",,"1286.03","0","0","760.8499999999999","651.27","1165.3999999999996","-491.49"
Manorama Industries Ltd,MANORAMA,"Packaged Foods & Meats","8277.3935139","155.58","-33.64","2.230000000000004","523.5999999999999",,"92.77","0","2.38","292.22","31.82","180.85","-56.9"
Quality Power Electrical Equipments Ltd,QPOWER,"Power Trading & Consultancy","8274.127644","199.22","-99.88","133.58","216.3799999999999",,"171","2.79","0","147.72","25.54","219.27100000000002","62.46"
BHARAT Bond ETF-April 2032,BBETF0432,"Debt","8252.305331877",,,,,,,,,,,,
Tata Teleservices (Maharashtra) Ltd,TTML,"Telecom Services","8234.155586124001","525.43","-90.58","-26.97000000000014","21324.410000000003",,"-603.95","0","0","-30184.420000000002","135.07","964.8100000000004","667.56"
SKF India Ltd,SKFINDIA,"Industrial Machinery","8180.9941172399995","0","-59.75","-506.69","965.83",,"-650.01","9.1","642.7","2548.53","131.34","606.44","203.07"
Fujiyama Power Systems Ltd,UTLSOLAR,"Renewable Energy Equipment & Services","8169.72490444","95.27","-118.13","4.010000000000005","617.13",,"104","0.01","0","273.54","119.07","362.027","18.14"
Yatharth Hospital & Trauma Care Services Ltd,YATHARTH,"Hospitals & Diagnostic Centres","8158.805178975","1146.23","-420.15","248.95000000000005","94.05000000000021",,"519.5","0.27","0","362.8799999999999","310.83","722.4620000000001","149.6"
Triveni Engineering and Industries Ltd,TRIVENI,"Sugar","8103.602775360001","0","-318.76","-30.319999999999993","3055.8",,"394.8","9.78","27.37","3089.28","299.57","2365.09","-106.36"
Jeena Sikho Lifecare Ltd,JSLL,"Pharmaceuticals","8087.0054938","53.31","-70.37","-2.430000000000009","55.29000000000005",,"-0.69","0.64","10.38","194.85","111.83","105.84819999999999","68.63"
Kama Holdings Ltd,KAMAHOLD,"Specialty Chemicals","8076.395463125","258.79","-1703.52","-234.1099999999999","8993.66","36.49","-1064.39","1708.24","214.31","6954.77","1236.17","14511.924800000003","2533.8"
Sharda Cropchem Ltd,SHARDACROP,"Fertilizers & Agro Chemicals","8031.4284649","21.69","-495.82","39.870000000000005","2212.31",,"-67.93","0","55.29","2388.66","393.06","301.5433999999998","603.62"
Clean Science and Technology Ltd,CLEAN,"Specialty Chemicals","8021.279142025","3.98","-151.74","9.589999999999996","183.10000000000045",,"-52.51","36.91","53.13","1401.81","141.95","742.0120000000001","213.84"
RHI Magnesita India Ltd,RHIM,"Cement","7980.247607769999","3509.55","-113.3","46.70999999999998","1156.1600000000005",,"-213.07","0.01","51.63","468.4199999999996","119.12","1925.8488","373.08"
PC Jeweller Ltd,PCJEWELLER,"Precious Metals, Jewellery & Watches","7972.349115955","3074.28","2.49","57.460000000000036","2219.5099999999998",,"687.69","0.01","0","1973.8299999999995","0.57","93.82","-632.72"
Zee Entertainment Enterprises Ltd,ZEEL,"TV Channels & Broadcasters","7967.5085889","0","-1601.5","-392.7","2200.7000000000016",,"22.8","38.3","96.1","11437.3","91.6","672.8999999999999","1186"
JK Lakshmi Cement Ltd,JKLAKSHMI,"Cement","7896.206215730001","198.47","-1150.93","-50.66000000000008","4891.88",,"317.85","34.26","53.15","3296.26","660.7","5831.89","782.42"
Akums Drugs and Pharmaceuticals Ltd,AKUMS,"Pharmaceuticals","7883.990476710001","1083.97","-547.84","-9.850000000000037","1031.22",,"72.79","0.14","0","1932.4199999999998","272.31","1558.032","465.2"
Saregama India Ltd,SAREGAMA,"Movies & TV Serials","7803.1532685","834.12","-219.99","12.479999999999976","508.42000000000047",,"-98.73","0","86.76","729.9799999999999","161.66","245.5317","331.2"
Isgec Heavy Engineering Ltd,ISGEC,"Heavy Machinery","7796.3339453","4.5","-274.07","-49.48999999999998","5160.389999999999",,"108.4","1.6","32.23","2726.92","240.94","1002.3217000000001","116.18"
Rategain Travel Technologies Ltd,RATEGAIN,"Software Services","7788.54958025","1165.18","-38.38","79.85000000000001","213.84000000000023",,"-1.74","115.52","0","510.67999999999984","6.49","167.22500000000005","119.97"
Power Mech Projects Ltd,POWERMECH,"Construction & Engineering","7776.975506160001","513.23","-192.59","40.150000000000006","2431.78",,"232","35.28","3.16","1615.0700000000002","162.58","348.99","0.74"
Indian Metals and Ferro Alloys Ltd,IMFA,"Iron & Steel","7770.47034612","141.67","-561.92","-44.49999999999994","820.3099999999996",,"-67.93","0.25","192.74","2152.62","115.8","1125","585.35"
Equitas Small Finance Bank Ltd,EQUITASBNK,"Private Banks","7767.262535508","2775.03","-238.67","1957.35","46786.82999999999","36208.89","259.2","9288.69","113.55","2157.6299999999997","244.68","695.7","1936.82"
SBI Gold ETF,SETFGOLD,"Gold","7729.7216374",,,,,,,,,,,,
Jyothy Labs Ltd,JYOTHYLAB,"FMCG - Household Products","7696.816150560001","504.28","-161.15","-7.2099999999999795","641.2699999999995",,"-157.47","0","128.52","1508.51","58.13","376.77","311.41"
Gujarat Narmada Valley Fertilizers & Chemicals Ltd,GNFC,"Fertilizers & Agro Chemicals","7647.527846735001","0","-465.84","-122.61000000000001","2471.209999999998",,"-261.95","1686.3","238.34","8428.7","452.87","3465.21","605.18"
Aditya Birla Fashion and Retail Ltd,ABFRL,"Retail - Apparel","7608.508087972999","9271.48","-1664.75","312.7799999999999","9580.120000000003",,"333.7","154.89","0","-3665.49","634.77","4110.02","1643.83"
Religare Enterprises Ltd,RELIGARE,"Investment Banking & Brokerage","7607.2132261080005","4718.3","-1184.71","101.73000000000002","7792.080000000001","430.55","-285.48","8700.09","0","-2533.13","24.89","143.22959999999998","1571.92"
Blue Jet Healthcare Ltd,BLUEJET,"Pharmaceuticals","7589.979670875","0","-35.18","-7.98","284.4099999999998",,"-18.56","0","17.35","1098.42","79.88","389.45000000000005","45.76"
SG Mart Ltd,SGMART,"Building Products - Others","7587.72","939.94","-86.76","1.1200000000000045","1090.33",,"478.89","0","0","171.8499999999999","157.52","291.99","-391.01"
Gujarat Ambuja Exports Ltd,GAEL,"Agro Products","7567.14854868","0","-295.96","-8.209999999999972","584.8",,"-61.37","179.14","16.05","2956.4","252.34","1413.5599999999997","349.12"
Thyrocare Technologies Ltd,THYROCARE,"Hospitals & Diagnostic Centres","7564.331595375","78.03","-52.52","8.379999999999995","145.70000000000002",,"-130.42","24.17","95.31","360.79999999999995","44.89","202.0699999999999","191.32"
Birla Corporation Ltd,BIRLACORPN,"Cement","7556.53470111","0","-885.69","-38.92000000000007","7346.129999999999",,"-822.72","756.83","77.01","6938.11","445.27","9897.13","1669.49"
KRBL Ltd,KRBL,"Packaged Foods & Meats","7552.221986539999","0","-523.15","185.93000000000004","984.7499999999991",,"-251.67","0","91.56","5217.42","96.3","942.3000000000001","960.75"
Mishra Dhatu Nigam Ltd,MIDHANI,"Metals - Diversified","7468.3091","0","-96.17","-5.589999999999989","1499.6799999999998",,"-126.38","25.32","14.05","1227.63","67.69","1098.5249","216.96"
Gujarat Pipavav Port Ltd,GPPL,"Ports","7454.6434122","1428.89","-56.2","-11.099999999999966","598.2400000000009",,"-401.02","337.78","372.22","424.8699999999999","95.41","1411.78","446.12"
TTK Prestige Ltd,TTKPRESTIG,"Home Electronics & Appliances","7430.96039184","0.25","203.78","-1.2200000000000273","651.7800000000004",,"-362.24","5.21","83.17","1864.86","42","584.57","157.24"
Cera Sanitaryware Ltd,CERA,"Building Products - Ceramics","7411.52093025","0","126.63","-11.430000000000007","494.65999999999997",,"-260.08","23.94","78.04","1347.13","29.28","409.46999999999997","122.02"
Sonata Software Ltd,SONATSOFTW,"IT Services & Consulting","7391.796294645","34.71","-437.07","-226.03999999999996","2963.68",,"-433.3","3.48","122.58","1643.47","68.52","486.39999999999986","644.33"
Pearl Global Industries Ltd,PGIL,"Apparel & Accessories","7350.66406172","329.31","-103.5","174.01999999999998","1448.86",,"101.13","24.27","25.43","803.4200000000001","119.11","748.4408999999999","176.39"
Sanofi India Ltd,SANOFI,"Pharmaceuticals","7346.768418","2","-11.3","-20.899999999999977","505.6000000000002",,"-447.9","0","442.2","724.2","25.7","315.30000000000007","438.3"
Sudeep Pharma Ltd,SUDEEPPHRM,"Pharmaceuticals","7342.79011125","0","-78.59","22.839999999999996","223.7499999999999",,"52.7","0","0","481.12","64.23","277.54999999999995","48.73"
Safari Industries (India) Ltd,SAFARI,"Apparel & Accessories","7325.57196504","424.16","-9.66","-27.439999999999998","362.86",,"-75.1","0","14.61","519.55","145.44","425.62999999999994","57.32"
ELANTAS Beck India Ltd,ELANTAS,"Specialty Chemicals","7307.42016032","6.95","-194.35","-73.64999999999999","158.14000000000001",,"-6.41","0","5.95","993.3299999999999","30.88","244.30349999999996","127.11"
Westlife Foodworld Ltd,WESTLIFE,"Restaurants & Cafes","7267.20197684","713.12","-220.93","44.54999999999997","2004.3999999999999",,"-79.42","159.2","0","-140.82000000000005","217.71","1993.532","344.9"
Relaxo Footwears Ltd,RELAXO,"Footwear","7251.581010180001","216.83","-262.03","-17.97999999999999","664.4000000000009",,"-161.96","73.87","74.68","1856.35","115.83","1392.7900000000004","406.01"
Precision Wires India Ltd,PRECWIRE,"Electrical Components & Equipments","7250.1642885","50.28","-98.89","-33.99000000000001","677.7300000000004",,"-103.02","0","19.65","508.09000000000003","102.73","248.13000000000002","167.92"
Inox Green Energy Services Ltd,INOXGREEN,"Heavy Electrical Equipments","7243.71947589","1776.07","-637.46","-4.590000000000032","512.5799999999996",,"572.5","264.75","0","-328.45000000000005","4.21","701.2855000000001","60.37"
Borosil Renewables Ltd,BORORENEW,"Housewares","7228.091004075","643.89","-142.06","-94.94999999999999","454.75",,"-52.68","29.46","0","246.90999999999997","109.14","911.7404","99.79"
Sky Gold and Diamonds Ltd,SKYGOLD,"Precious Metals, Jewellery & Watches","7221.76921092","297.83","-156.91","-3.1200000000000045","673.0499999999998",,"426.98","77.03","0","234.01000000000005","15.2","63.699099999999994","-273.19"
Vikram Solar Ltd,VIKRAMSOLR,"Renewable Energy Equipment & Services","7204.573319003999","594.94","-168.75","30.210000000000008","1590.09",,"-99.72","0","0","330.51","146.38","616.897","298.68"
Bajaj Consumer Care Ltd,BAJAJCON,"FMCG - Personal Products","7182.0483801850005","0","154.64","8.149999999999977","153.16",,"-211.59","59.99","0","734.19","5.8","138.929","65.1"
Shreeji Shipping Global Ltd,SHREEJISPG,"Logistics","7125.229838689999","21.41","-21.48","103.85999999999999","415.4200000000001",,"-13.45","0","0","175.14000000000001","41.49","396.96900000000005","138.79"
Praj Industries Ltd,PRAJIND,"Construction & Engineering","7109.890243839999","107.55","75.38","-42.5","1775.4799999999996",,"-160.84","69.78","110.22","1237.45","43.5","522.2449999999999","42.96"
Dilip Buildcon Ltd,DBL,"Construction & Engineering","7096.402529605","914.3","-1426.85","-273.81999999999994","14454.5",,"1022.03","831.96","14.62","3870.59","4265.34","5110.3991","131"
Suven Life Sciences Ltd,SUVEN,"Pharmaceuticals","7093.556241534","646.78","154.95","0.0899999999999943","25.2",,"-0.76","0","0","-558.5999999999999","37.28","59.660000000000004","-154.1"
RedTape,REDTAPE,"Retail - Apparel","7093.0743156","0","-110.28","-7.3500000000000085","1435.37",,"98.69","0","27.57","678.28","170.94","763.3299999999999","4.24"
Le Travenues Technology Ltd,IXIGO,"Online Services","7092.876751549001","708.09","-202.27","24.17999999999998","268.1900000000001",,"104.24","30.04","0","-113.48000000000002","4.11","26.86500000000001","122.21"
Dynamatic Technologies Ltd,DYNAMATECH,"Auto Parts","7090.9456363","233.18","-65.68","-17.72","932.7800000000001",,"-96.37","0.33","4.75","477.53000000000003","66.55","711.6200000000001","144.33"
Kingfa Science and Technology (India) Ltd,KINGFA,"Commodity Chemicals","7089.947025389999","248.78","-29.84","23.080000000000002","427.00999999999993",,"-7","0","12.05","467.72","30.33","284.9","59.92"
Campus Activewear Ltd,CAMPUS,"Apparel & Accessories","7088.845576385001","25.63","-154.58","-4.060000000000002","571.46",,"-84.69","0","21.38","578.18","59.18","464.48","235.21"
Powerica Ltd,POWERICA,"Power Generation","7077.413721225","1.94","-345.78","-3.769999999999982","1321.07",,"85.57","40.42","0","1069.01","333.38","1212.8899999999999","256.44"
P N Gadgil Jewellers Ltd,PNGJL,"Precious Metals, Jewellery & Watches","7073.796857625","782.06","-424.03","67.50999999999999","1590.29",,"1166.98","8.61","0","636.1700000000001","434.06","291.842","-675.44"
Gujarat State Fertilizers & Chemicals Ltd,GSFC,"Fertilizers & Agro Chemicals","7065.0066069","305.24","-171.65","-246.83999999999997","2219.6899999999964",,"-158.67","5055.23","158.37","11753.54","379.54","3194.62","83.48"
Bluestone Jewellery and Lifestyle Ltd,BLUESTONE,"Precious Metals, Jewellery & Watches","7050.50240595","3245.13","-84.23","-10.360000000000014","2621.5499999999997",,"739.7","8.56","0","-2368.01","163.09","1018.333","-665.83"
Kirloskar Ferrous Industries Ltd,KIRLFER,"Iron & Steel","7027.090659085001","223.4","-474.55","6.989999999999981","2913.5600000000013",,"-172.96","0.94","90.36","3129.3199999999997","484.55","3851.7700000000004","654.5"
Aditya Vision Ltd,AVL,"Retail - Speciality","6990.88833675","280.56","-44.66","8.560000000000016","639.79",,"94.04","0","11.58","290.21999999999997","37.1","274.38","-40.82"
Mahindra Lifespace Developers Ltd,MAHLIFE,"Real Estate","6969.90649905","952.81","272.69","146.77999999999997","4524.509999999999",,"416.18","844.2","41.15","788.2","14.54","30.509999999999998","-542.09"
Elitecon International Ltd,ELITECON,"FMCG - Tobacco","6955.0735","2.26","-20.01","0.8299999999999983","90.62",,"20.87","0","0","-1.88","4.93","17.9","-0.03"
JK Paper Ltd,JKPAPER,"Paper Products","6907.338581245","438.32","6.95","-35.93999999999994","3865.5100000000016",,"-656.12","186.5","84.66","4736.58","252.92","5992.55","613.23"
EPL Ltd,EPL,"Packaging","6907.151125994","194","-374.4","-10.499999999999943","1593.6",,"-431.2","14.4","152.6","2096.5","363.1","1915.3000000000004","795.1"
Maple Infrastructure Trust,MIT,"Roads","6883.577792","0","-41.57","-22.819999999999993","4896.74",,"-508.97","0","0","-488.1","9.1","7097.13","527.72"
Kennametal India Ltd,KENNAMET,"Industrial Machinery","6875.4528192","0.1","-3.9","51.7","219.4000000000001",,"-89.2","0","87.9","725.1999999999999","31.2","281.3","144.8"
Rashtriya Chemicals and Fertilizers Ltd,RCF,"Fertilizers & Agro Chemicals","6850.8628258","0","-680.55","830.5400000000002","6534.480000000001",,"-852.73","1095.12","68.41","4193.64","827.34","3484.59","2363.82"
E2E Networks Ltd,E2E,"Software Services","6848.18874546","1479.94","-982.8","455.9100000000001","987.9599999999997",,"1350.24","0","0","92.56999999999994","125.93","1019.4187","88.47"
Jai Balaji Industries Ltd,JAIBALAJI,"Iron & Steel","6844.62247929","809.06","-352.21","47.06999999999999","1765.8399999999995",,"88","0.79","0","1133.3300000000002","357.79","1742.7599999999998","311.28"
Tanla Platforms Ltd,TANLA,"Software Services","6822.304173915","214.42","-220.3","213.57000000000002","1069.41",,"-208.23","0","161.45","2040.4099999999999","127.63","562.2536","642.1"
HMT Ltd,HMT,"Industrial Machinery","6821.1791406","0","30","-23.869999999999997","2442.31",,"-7.46","0.18","0","-2253.5","2.21","38.389999999999965","-46.41"
Transport Corporation of India Ltd,TCI,"Logistics","6799.5004142","10.26","-99.29","-32.06","588.5900000000001",,"-291.96","240.04","77.42","2129.1699999999996","354.03","1216.361","359.19"
Sudarshan Chemical Industries Ltd,SUDARSCHEM,"Diversified Chemicals","6780.0558784800005","993.41","-1575.82","1057.09","5633.4299999999985",,"2595.87","219.35","9.2","2405.94","94.57","2996.117","37.04"
Sri Lotus Developers and Realty Ltd,LOTUSDEV,"Real Estate","6698.44716926","512.8","15.86","246.32","283.1699999999998",,"249.96","0","0","376.05000000000007","1.24","3.3949999999999987","-19.5"
WeWork India Management Ltd,WEWORK,"Real Estate","6678.6015833599995","2137.21","-303.68","2.490000000000009","5191.21",,"-983.78","2.09","0","-2071.53","372.28","4354.859","1289.95"
Bengal & Assam Company Ltd,BENGALASM,"Specialized Finance","6666.548296915","160.8","-286.13","47.15000000000002","1375.8499999999985","0","38.92","9869.32","49.48","9589.43","102.83","484.908","294.36"
Welspun Enterprises Limited,WELENT,"Construction & Engineering","6662.832547","732.16","-16.67","245.7","3321.7800000000007",,"535.86","299.18","40.88","1671.31","51.6","228.47000000000006","-273.49"
Transrail Lighting Ltd,TRANSRAILL,"Power Infrastructure","6660.44140025","651.54","-497.64","31.600000000000023","4351.93",,"241.93","0","18.59","1199.92","141.82","437.22999999999996","287.31"
India Glycols Ltd,INDIAGLYCO,"Commodity Chemicals","6657.0982998","39.58","-735.99","-20.129999999999995","3920.2200000000007",,"353.75","381.31","24.59","2185.34","760.47","3927.46","362.11"
Max Estates Ltd,MAXESTATES,"Real Estate","6637.5976156","1269.25","-1993.08","-1.7100000000000364","4568.539999999999",,"1766.36","5.12","0","810.6700000000001","677.2","2046.81","225.01"
Raajmarg Infra Investment Trust,RIIT,"Real Estate","6631.2","0",,,"0",,,"0",,"0",,"0",
Kalpataru Ltd,KALPATARU,"Real Estate","6586.159066105","1412.16","-34.59","-190.08000000000004","13837.059999999998",,"-643.74","116.43","0","901.55","42.62","870.87","488.25"
Latent View Analytics Ltd,LATENTVIEW,"IT Services & Consulting","6579.1797391","471.97","-221.32","-95.42999999999999","251.56",,"-4.58","430.13","0","1007.3999999999999","16.19","164.73799999999994","130.47"
Pricol Ltd,PRICOLLTD,"Auto Parts","6560.88103734","886.43","-376.99","-11.459999999999987","933.1200000000001",,"56.24","7.14","0","117.41000000000008","216.27","826.1258","309.29"
AJAX Engineering Ltd,AJAXENGG,"Construction & Engineering","6513.751158","0","-34.66","-17.45","325.32000000000016",,"-25.51","29.38","24.84","1145.7","23.45","196.07600000000002","42.72"
KRN Heat Exchanger and Refrigeration Ltd,KRN,"Electrical Components & Equipments","6500.337228","326.62","-279.26","-0.05000000000001137","96.46000000000002",,"257.77","0","0","109.86000000000001","8.27","167.46999999999997","21.44"
Galaxy Surfactants Ltd,GALAXYSURF,"Specialty Chemicals","6473.328620159999","0.2","-290.25","-27.05000000000001","1087.4499999999994",,"-157.31","0","135.09","2326.8900000000003","218.66","1289.21","420.51"
Archean Chemical Industries Ltd,ACI,"Commodity Chemicals","6438.3552471","942.05","-246.23","-5.019999999999996","525.0200000000002",,"64.98","136.5","12.34","897.28","263.57","1447.3999999999999","176.23"
Citius Transnet Investment Trust,CITIUSINVT,"Roads","6398.9","0","-2385.17","-1154.78","12063.69",,"185.44","0","0","-4398.04","30.2","37.4409999999998","1044.95"
Sheela Foam Ltd,SFL,"Home Furnishing","6396.58411755","1136.89","-28.78","-2.769999999999982","2365.37",,"-226.32","402.27","0.09","1843.9599999999998","151.27","2597.0299999999997","252.33"
Newgen Software Technologies Ltd,NEWGEN,"Software Services","6356.41269027","46.85","-167.69","-20.80000000000001","528.6499999999997",,"-68.09","0","56.09","1329.3700000000001","23.35","256.07689999999997","214.98"
Aarti Pharmalabs Ltd,AARTIPHARM,"Labs & Life Sciences Services","6352.841901325","440.76","-413.9","-16.899999999999977","916.5000000000002",,"65.44","29.24","31.72","1503.83","443.88","1478.8923","331.56"
Sunflag Iron and Steel Co Ltd,SUNFLAG,"Iron & Steel","6310.38397172","37.85","-86.79","-92.62000000000002","2419.04",,"-193.22","7779.06","0","8548.3","80.1","1782.08","187.39"
Garware Technical Fibres Ltd,GARFIBRES,"Textiles","6305.3664744","1.03","-2.78","-138.53000000000003","515.0600000000003",,"-330.85","593.59","5.96","1141.27","43.76","275.31300000000005","195.1"
Ethos Ltd,ETHOSLTD,"Precious Metals, Jewellery & Watches","6304.91520159","683.95","46.59","-32.099999999999994","427.43",,"-58.4","36.22","0","273.77","73.38","391.63","-20.29"
SJS Enterprises Ltd,SJS,"Auto Parts","6291.84662256","41.88","-98.5","4.8899999999999935","178.26999999999987",,"-59.62","7.08","6.21","603.97","38.66","263.56899999999996","163.01"
Interise Trust,INTERISE,"Roads","6266.1528877","0","-242.1","-375.03999999999996","15338.959999999997",,"-1728.18","0","765.18","-5570.06","68.14","-378.4269000000022","1595.24"
Hindustan Foods Ltd,HNDFDS,"FMCG - Foods","6239.33761164","392.43","-289.32","33.81","1590.7199999999996",,"209.45","0","0","435.67","272.9","1125.05","113.68"
Shakti Pumps (India) Ltd,SHAKTIPUMP,"Industrial Machinery","6224.1933546","186.14","-197.96","-133.6","811.9500000000003",,"43.87","0","8.01","854.82","108.14","259.5","20.49"
Alok Industries Ltd,ALOKINDS,"Textiles","6201.5852608489995","1160.31","237.97","5.509999999999991","23817.48",,"-347.68","0.05","0","-22286.960000000003","79.37","4796.719999999999","115.22"
Kwality Wall's (India) Ltd,KWIL,"FMCG - Foods","6191.17297537","0","0","-0.99","0.05",,"0","0","0","-0.05","0","0","-0.99"
Dodla Dairy Ltd,DODLA,"FMCG - Foods","6182.39386632","218.07","-525.72","-13.630000000000063","324.67000000000024",,"-7.7","13.2","18.1","1127.55","110.01","710.7299999999999","519.79"
CSB Bank Ltd,CSBBANK,"Private Banks","6166.442002995","1804.24","1903.91","437.2899999999995","43349.51","31507.05","3788.9","11389.34","0","2519.95","300.24","628.68","-5255.52"
Nephrocare Health Services Ltd,NEPHROPLUS,"Hospitals & Diagnostic Centres","6161.92343097","606.58","-125.05","64.66999999999999","410.3100000000001",,"54.37","0","0","-27.90000000000009","100.8","345.71199999999993","135.35"
