Name,Ticker,"Sub-Sector","Market Cap","PB Premium vs Sector","PB Ratio","Dividend Yield vs Sector","PS Ratio","PS Premium vs Sector","EV/EBITDA Ratio","PE Ratio","Forward PS Ratio","Forward PE Ratio","Dividend Yield","PE Premium vs Sector","EV / EBIT Ratio","PS Premium vs Sub-sector","EV / Revenue Ratio","PE Premium vs Sub-sector","EV / Invested Capital","Price / Free Cash Flow"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1840019.2900303397","16.59674507444357","1.8224761347571672","-0.761656091155644","1.6940264007843442","117.14842944478168","10.367644280631326","22.779564098178145","1.631075372311063","20.91846153846154","0.4412730519616519","77.49657826277578","14.348983111975794","117.67390985463344","1.9845194217449391","71.26915928024309","1.5575450146504577","47.50153061829667"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1169343.2606485","-5.1576533718224296","2.1729009980545713","0.9637595562763344","2.360102992691823","21.924248107594057","9.161358103380165","15.380839740005946","5.67070850302288","13.91025641025641","2.0286504389005677","-2.5474438746209254","9.161358103380165","-0.28655381800076263","1.8886471027936484","-4.012004333929541","1.738840714723445","9.494046533546811"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","1160404.30227762","-11.674023495414488","7.561228208135131","-0.002336414693710598","5.418535498549272","29.595121937583208","11.683549250977237","43.46864988003911","4.515357621304773","30.188589540412046","1.1793348868785847","36.862082412815084","20.912796761144048","32.92518385408772","6.516176174957811","91.67001427751435","3.8012308641110106","19.784463734203435"
ICICI Bank Ltd,ICICIBANK,"Private Banks","887112.8190763199","17.783689672608382","2.6985023667489414","-0.10146971239484492","2.8422320913012613","46.83130852858969","8.927458284323118","16.444810191822214","6.508338652864623","15.731722822631912","0.9634211702293884","4.193842162036631","8.927458284323118","20.08321566910803","2.204055215067515","2.6279706507995715","2.092597656788129","7.51566010218405"
State Bank of India,SBIN,"Public Banks","877739.4262527401","-24.145255853091097","1.7378824451716297","0.6992107739568634","1.2316668703253926","-36.371396693929825","4.716669682763302","10.730103578106196","3.145736911544756","10.606804238706077","1.7641016565810967","-32.01437380192608","4.716669682763302","14.446507452837505","0.7547003426141259","20.757509072586284","1.0648824843746896","20.48444519922463"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","842073.68893932","33.295564290036495","7.762621812158412","1.508523449173727","3.102440430395803","10.096051969005057","11.178524627657525","17.111840864444627","2.9058266351240216","14.871565495207669","4.726304030248345","-20.82228302953231","12.110152126080283","14.316303248267541","2.976596268331424","-8.223192010604857","6.746075007217041","17.562227599468592"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","574292.70542025","153.35961881090114","5.804636727718547","-0.41564497077314266","7.0030605753563515","261.7820483878142","34.45368609871417","30.198292479685684","8.953093071541616","23.0775","0.6492459118510907","91.33550849714817","35.800223321780706","38.13080317784564","11.270422728058422","18.994292084509638","2.0084112930194418",
Larsen and Toubro Ltd,LT,"Construction & Engineering","537992.3385507901","-31.51170022513263","4.661830008807259","0.38383194338715243","1.8447451943730429","-50.28561117634976","15.474124954728827","33.44893515544283","1.6813120197936895","25.875728352426005","0.9713391534676392","-17.68080277780953","17.35968451539157","-0.8545453788609487","2.1321970725835624","0.3911274879768938","2.5092484343039465","113.45549413962188"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","519095.19751365995","27.753410832204548","10.463730321386441","0.20292979219519758","7.455479239273546","72.31275730064742","25.530768335520488","34.51430834532314","7.551269717236542","46.15762286048565","1.886597564839542","11.890934217278582","27.357625074542913","4.204544324128606","7.31975407913222","1.304994344839393","9.942938476962365","48.92047851415135"
Life Insurance Corporation Of India,LICI,"Insurance","506347.690953555","73.335905674482","3.9712404408905155","0.43407857587304965","0.5667234869612096","-70.72274589430091","7.692685594297237","10.478978329691753","0.5276264708011107","10.0571608040201","1.498969458497283","-33.60549611899657","7.7619289493332415","-41.93575283671501","0.4888162633600117","-46.38751275590202","3.4253157984135907",
Infosys Ltd,INFY,"IT Services & Consulting","483047.29062591","-11.09437471844097","5.177522220713527","0.8036302154603527","2.640006616454485","-6.314299286446227","10.096821897157769","16.407856339195313","2.4874308562182903","15.502597402597404","4.021410796534971","-24.079670001123247","11.321602796909504","-2.7230969570812587","2.5004770709502546","-11.998908084236584","4.464759406145131","15.453062817937553"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","451146.9544091","-1.941932589227116","6.223922765847727","0.3706008151572807","8.243287324384271","36.66502865374451","25.894828298115566","41.279650766133145","7.734681479656356","37.196834817012856","0.8509280433973301","-5.36985827353662","30.663972614068438","54.14650601242265","7.834772717597121","13.677310570470679","5.728791048235802","37.7733978042552"
Adani Power Ltd,ADANIPOWER,"Power Generation","424726.11618292","120.0194072020038","7.3466596493905945",,"7.3399129181249965","130.6393913868208","19.557587754228503","33.09304879759084","6.805733901798353","33.1187969924812",,"30.224160389010454","24.289358518023104","122.37707569948675","7.919278990491707","40.74957810154424","4.716051254331473","42.720089094415954"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","408817.6669722","-24.1426078233979","4.247902034106436","0.3922746587553072","2.175039872973158","-2.2480053641057713","15.326859253539407","27.849563470976488","1.9792024615664354","25.02020396382528","1.076674613550719","13.571560760719708","20.66487751184053","79.85246641964876","2.128202456029968","209.4902328837437","4.152673520815057","74.3899969015576"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","408399.78971147997","-7.867484257523217","6.271233598834323","-0.19081155803459654","9.933838985898513","167.70891468528043","18.18090184586841","31.89076156891694","8.537523676598333","26.980213089802128","0.39669565204589025","-21.515531691586656","23.324382860462272","1.1058700740068736","11.064529358874955","-0.22030258684438067","3.907019848667077","44.500792135372265"
Axis Bank Ltd,AXISBANK,"Private Banks","388638.42215172003","-9.708011586253408","2.0686492765698","-0.9851929194416116","2.395868011892589","23.771889116528804","8.874080492177521","14.759863450645557","4.062903977056284","12.380386329866269","0.07969796318262178","-6.481931699366931","8.874080492177521","1.2245045249261448","1.7666691766649745","-7.8873629215897525","1.525384076295272","9.266944651139037"
ITC Ltd,ITC,"FMCG - Tobacco","385343.795444405","-33.169549980987966","5.473793628682955","2.97652452785056","4.144397003858756","-4.213739698773759","8.380932294466422","11.090105585618089","5.194115673150278","18.990429144797776","4.660192300494905","-64.04730866608217","8.709542687172005","-2.8291777523401915","3.9330876458564616","-5.888245863489834","5.173790809892424","25.10654542734947"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","381150.2237304","5.634879200575178","2.4201650697675747","-0.8953586529430411","3.531408894016009","82.43456980336721","11.62204162282362","19.871632081257015","8.046442363486971","22.90496114763897","0.1695322296811923","25.906086627025346","11.62204162282362","49.20067123785856","2.798890979179477","24.01391382631412","1.918151759026245","24.272631754837327"
NTPC Ltd,NTPC,"Power Generation","380545.66242883","-40.3698888262206","1.9911067719897508","0.8557356097898909","1.9332039186793877","-39.2536423518318","9.958226570201795","16.247040764669052","2.1363090828310796","18.32958599282416","2.127659574468085","-36.06641517601485","13.768353516049768","-41.429790930471974","3.181078640151084","-30.898958660096767","1.419219194314146","41.577920832117485"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","375991.59436953","-2.1824368796835056","6.658200782347757","-0.5463448898842399","3.3523203824434877","-9.65768092927101","18.098330253121215","40.258343821387086","2.1622764565629087","87.81818181818183","0.041162320196246854","-0.9225695983851111","23.779903087812595","-2.2156185225267424","4.143678263929358","-1.5825256382786677","3.134064234364684",
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","375269.72871497995","-35.84602526359176","1.0027645954633542","2.9036752059120516","0.5999568416935821","-23.094654340633294","5.516527696091331","10.359241219330494","0.5839865427948957","8.584172661870504","4.106604349029348","-19.281604252606172","8.418164555096059","-13.086883598357673","0.9008094758348809","-2.9451291435486713","1.0024890715975923","7.529883260639852"
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","374901.99406607996","-28.146185453690375","4.0237075940994655","0.29821260784961123","1.8373113062953181","-17.426412642291737","11.149039365543379","21.925567746724482","2.117109904040688","22.251120377620513","0.9826125626450231","-10.58671522246719","13.496474513777903","51.92593668005722","2.3001708365312785","143.65728658956715","2.1517631694347275",
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","364256.2655664","459.59631448891247","31.33656792553338","-0.31789973882132483","4.132841662030702","85.7407402033457","43.38733570641536","71.80293033045535","4.148497931537847","62.34882149279148","0.366500215974087","192.81503364753112","47.8777428350332","42.38593552778425","4.335435351400661","28.846888683625977","11.793224454998303",
UltraTech Cement Ltd,ULTRACEMCO,"Cement","335618.1365715","33.697644256497306","4.541925506858804","-0.040106625118949246","3.7672213840389346","74.73302721294073","20.545039291254664","41.10126537191205","3.389039439655086","34.00238770733067","2.1072335101572586","72.33167644010645","28.000415392846257","77.87837572003924","4.022655498044428","13.028315192291059","3.6570492552161054","217.3551820293374"
JSW Steel Ltd,JSWSTEEL,"Iron & Steel","319303.1106288","15.002001425085988","3.906804241145235","-1.4685657750070997","1.5646207589723486","-27.4290269178877","8.363545776672993","14.308259124789389","1.9543229951068921","21.16285187240608","0.6787743602691082","-40.007533597749735","10.45726717325824","-0.16835455279500902","1.9652244526761957","-40.034161068145515","2.222932914835549","38.915674665301644"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","316520.59020372","-21.99099738958448","4.542944759142279","1.4118681596181997","2.4038199660048303","-14.69583579800238","10.760908665875723","19.019384100692225","2.254949880125438","16.246098533740305","4.629648740692818","-11.995943440180119","12.80103566251883","-11.425918288142457","2.233186431670034","2.0076318213491895","3.8717111509528768","14.963390072506028"
